place,congress,executive_council,state_senate,state_house,county
Acworth,2,2,8,"7, 11",Sullivan
Albany,1,1,3,"3, 7",Carroll
Alexandria,2,1,2,"9, 17",Grafton
Allenstown,2,4,17,"22, 29",Merrimack
Alstead,2,2,10,2,Cheshire
Alton,1,1,6,"5, 8",Belknap
Amherst,2,5,11,"22, 41",Hillsborough
Andover,2,1,7,"1, 25",Merrimack
Antrim,2,5,8,"1, 38",Hillsborough
Ashland,2,1,2,"9, 17",Grafton
Atkinson,2,3,22,"14, 34",Rockingham
Auburn,1,4,14,4,Rockingham
Barnstead,1,2,6,"7, 8",Belknap
Barrington,1,4,4,"4, 25",Strafford
Bartlett,1,1,3,"1, 7",Carroll
Bath,2,1,1,"3, 15",Grafton
Bedford,1,4,9,"7, 41",Hillsborough
Belmont,1,2,7,"6, 9",Belknap
Bennington,2,5,8,"3, 38",Hillsborough
Benton,2,1,1,"3, 15",Grafton
Berlin,2,1,1,3,Coos
Bethlehem,2,1,1,"1, 14",Grafton
Boscawen,2,2,7,"8, 26",Merrimack
Bow,2,4,16,23,Merrimack
Bradford,2,2,8,6,Merrimack
Brentwood,1,3,23,"11, 33",Rockingham
Bridgewater,2,1,2,"9, 17",Grafton
Bristol,2,1,2,"9, 17",Grafton
Brookfield,1,1,3,"5, 8",Carroll
Brookline,2,5,12,26,Hillsborough
Campton,1,1,2,7,Grafton
Canaan,2,1,5,"11, 16",Grafton
Candia,1,4,16,"2, 32",Rockingham
Canterbury,2,2,7,"9, 26",Merrimack
Carroll,2,1,1,"5, 7",Coos
Center Harbor,2,1,2,1,Belknap
Charlestown,2,2,5,"8, 11",Sullivan
Chatham,1,1,3,"2, 7",Carroll
Chester,1,3,23,4,Rockingham
Chesterfield,2,2,10,1,Cheshire
Chichester,2,4,17,20,Merrimack
Claremont Ward 1,2,1,5,"3, 10",Sullivan
Claremont Ward 2,2,1,5,"4, 10",Sullivan
Claremont Ward 3,2,1,5,"5, 10",Sullivan
Clarksville,2,1,1,1,Coos
Colebrook,2,1,1,1,Coos
Columbia,2,1,1,1,Coos
Concord Ward 1,2,2,15,"11, 27",Merrimack
Concord Ward 2,2,2,15,"12, 27",Merrimack
Concord Ward 3,2,2,15,"13, 27",Merrimack
Concord Ward 4,2,2,15,"14, 27",Merrimack
Concord Ward 5,2,2,15,10,Merrimack
Concord Ward 6,2,2,15,"15, 27",Merrimack
Concord Ward 7,2,2,15,"16, 27",Merrimack
Concord Ward 8,2,2,15,"17, 28",Merrimack
Concord Ward 9,2,2,15,"18, 28",Merrimack
Concord Ward 10,2,2,15,"19, 28",Merrimack
Conway,1,1,3,"2, 7",Carroll
Cornish,2,1,5,"1, 9",Sullivan
Croydon,2,1,8,"2, 9",Sullivan
Dalton,2,1,1,"4, 7",Coos
Danbury,2,1,2,"1, 25",Merrimack
Danville,1,3,23,"12, 33",Rockingham
Deerfield,2,4,17,"2, 32",Rockingham
Deering,2,5,8,"2, 39",Hillsborough
Derry,1,3,19,6,Rockingham
Dixville,2,1,1,1,Coos
Dorchester,2,1,2,"11, 16",Grafton
Dover Ward 1,1,2,4,"13, 19",Strafford
Dover Ward 2,1,2,4,"14, 19",Strafford
Dover Ward 3,1,2,4,"15, 20",Strafford
Dover Ward 4,1,2,4,"16, 20",Strafford
Dover Ward 5,1,2,4,"17, 21",Strafford
Dover Ward 6,1,2,4,"17, 21",Strafford
Dublin,2,2,9,"9, 14",Cheshire
Dummer,2,1,1,"2, 7",Coos
Dunbarton,2,5,16,23,Merrimack
Durham,1,2,21,6,Strafford
East Kingston,1,3,23,"16, 35",Rockingham
Easton,2,1,1,"3, 15",Grafton
Eaton,1,1,3,"2, 7",Carroll
Effingham,1,1,3,"5, 8",Carroll
Ellsworth,2,1,2,"6, 16",Grafton
Enfield,2,1,5,"10, 17",Grafton
Epping,1,3,23,9,Rockingham
Epsom,2,4,17,"21, 29",Merrimack
Errol,2,1,1,1,Coos
Exeter,1,3,23,"18, 36",Rockingham
Farmington,1,2,6,2,Strafford
Fitzwilliam,2,5,9,"11, 14",Cheshire
Francestown,2,5,8,"4, 38",Hillsborough
Franconia,2,1,1,"2, 14",Grafton
Franklin Ward 1,2,2,7,2,Merrimack
Franklin Ward 2,2,2,7,2,Merrimack
Franklin Ward 3,2,2,7,"3, 26",Merrimack
Freedom,1,1,3,"3, 7",Carroll
Fremont,1,3,23,"10, 33",Rockingham
Gilford,1,1,7,2,Belknap
Gilmanton,1,2,6,"5, 8",Belknap
Gilsum,2,2,10,3,Cheshire
Goffstown,1,4,20,"6, 39",Hillsborough
Gorham,2,1,1,6,Coos
Goshen,2,2,8,"7, 11",Sullivan
Grafton,2,1,2,"9, 17",Grafton
Grantham,2,1,8,"1, 9",Sullivan
Greenfield,2,5,9,"3, 38",Hillsborough
Greenland,1,3,24,"23, 31",Rockingham
Greenville,2,5,12,"4, 38",Hillsborough
Groton,2,1,2,"6, 16",Grafton
Hampstead,1,3,19,"13, 34",Rockingham
Hampton,1,3,24,"21, 37",Rockingham
Hampton Falls,1,3,24,"20, 37",Rockingham
Hancock,2,2,9,"3, 38",Hillsborough
Hanover,2,1,5,12,Grafton
Harrisville,2,2,10,"9, 14",Cheshire
Hart's Location,1,1,3,"1, 7",Carroll
Haverhill,2,1,2,"4, 15",Grafton
Hebron,2,1,2,8,Grafton
Henniker,2,2,15,6,Merrimack
Hill,2,1,2,2,Merrimack
Hillsborough,2,5,8,"1, 38",Hillsborough
Hinsdale,2,2,10,1,Cheshire
Holderness,2,1,2,8,Grafton
Hollis,2,5,12,"27, 40",Hillsborough
Hooksett,1,4,16,24,Merrimack
Hopkinton,2,2,15,10,Merrimack
Hudson,2,5,14,37,Hillsborough
Jackson,1,1,3,"1, 7",Carroll
Jaffrey,2,5,9,"9, 14",Cheshire
Jefferson,2,1,1,"5, 7",Coos
Keene Ward 1,2,2,10,"4, 16",Cheshire
Keene Ward 2,2,2,10,"5, 16",Cheshire
Keene Ward 3,2,2,10,"6, 16",Cheshire
Keene Ward 4,2,2,10,"7, 16",Cheshire
Keene Ward 5,2,2,10,"8, 16",Cheshire
Kensington,1,3,24,"16, 35",Rockingham
Kingston,1,3,23,"13, 34",Rockingham
Laconia Ward 1,1,1,7,"3, 9",Belknap
Laconia Ward 2,1,1,7,"3, 9",Belknap
Laconia Ward 3,1,1,7,"3, 9",Belknap
Laconia Ward 4,1,1,7,"3, 9",Belknap
Laconia Ward 5,1,1,7,"3, 9",Belknap
Laconia Ward 6,1,1,7,"3, 9",Belknap
Lancaster,2,1,1,"4, 7",Coos
Landaff,2,1,1,"3, 15",Grafton
Langdon,2,2,8,"7, 11",Sullivan
Lebanon Ward 1,2,1,5,13,Grafton
Lebanon Ward 2,2,1,5,13,Grafton
Lebanon Ward 3,2,1,5,13,Grafton
Lee,1,4,21,"5, 25",Strafford
Lempster,2,2,8,"7, 11",Sullivan
Lincoln,2,1,1,5,Grafton
Lisbon,2,1,1,"2, 14",Grafton
Litchfield,2,5,18,"20, 44",Hillsborough
Littleton,2,1,1,"1, 14",Grafton
Londonderry,1,4,14,5,Rockingham
Loudon,2,4,17,"9, 26",Merrimack
Lyman,2,1,1,"2, 14",Grafton
Lyme,2,1,5,12,Grafton
Lyndeborough,2,5,9,"4, 38",Hillsborough
Madbury,1,2,21,6,Strafford
Madison,1,1,3,"3, 7",Carroll
Manchester Ward 1,1,4,16,"8, 42",Hillsborough
Manchester Ward 2,1,4,16,"9, 42",Hillsborough
Manchester Ward 3,1,4,20,"10, 42",Hillsborough
Manchester Ward 4,1,4,20,"11, 43",Hillsborough
Manchester Ward 5,1,4,18,"12, 43",Hillsborough
Manchester Ward 6,1,4,18,"13, 43",Hillsborough
Manchester Ward 7,1,4,18,"14, 43",Hillsborough
Manchester Ward 8,1,4,18,"15, 44",Hillsborough
Manchester Ward 9,1,4,18,"16, 44",Hillsborough
Manchester Ward 10,1,4,20,"17, 45",Hillsborough
Manchester Ward 11,1,4,20,"18, 45",Hillsborough
Manchester Ward 12,1,4,16,"19, 45",Hillsborough
Marlborough,2,2,10,"10, 15",Cheshire
Marlow,2,2,8,2,Cheshire
Mason,2,5,12,26,Hillsborough
Meredith,1,1,2,2,Belknap
Merrimack,1,5,11,21,Hillsborough
Middleton,1,1,3,1,Strafford
Milan,2,1,1,"2, 7",Coos
Milford,2,5,11,"23, 40",Hillsborough
Millsfield,2,1,1,1,Coos
Milton,1,1,3,1,Strafford
Monroe,2,1,1,"2, 14",Grafton
Mont Vernon,2,5,9,"5, 40",Hillsborough
Moultonborough,1,1,3,"4, 8",Carroll
Nashua Ward 1,2,5,12,28,Hillsborough
Nashua Ward 2,2,5,12,29,Hillsborough
Nashua Ward 3,2,5,13,30,Hillsborough
Nashua Ward 4,2,5,13,31,Hillsborough
Nashua Ward 5,2,5,12,32,Hillsborough
Nashua Ward 6,2,5,13,33,Hillsborough
Nashua Ward 7,2,5,13,34,Hillsborough
Nashua Ward 8,2,5,13,35,Hillsborough
Nashua Ward 9,2,5,13,36,Hillsborough
Nelson,2,2,10,3,Cheshire
New Boston,2,5,9,"5, 40",Hillsborough
Newbury,2,2,8,5,Merrimack
New Castle,1,3,24,24,Rockingham
New Durham,1,1,6,3,Strafford
Newfields,1,3,21,"17, 36",Rockingham
New Hampton,1,1,2,1,Belknap
Newington,1,3,21,"23, 31",Rockingham
New Ipswich,2,5,12,25,Hillsborough
New London,2,1,8,5,Merrimack
Newmarket,1,3,21,"17, 36",Rockingham
Newport,2,1,8,"6, 9",Sullivan
Newton,1,3,24,"15, 35",Rockingham
Northfield,2,2,7,"3, 26",Merrimack
North Hampton,1,3,24,"22, 31",Rockingham
Northumberland,2,1,1,"2, 7",Coos
Northwood,2,4,17,"1, 32",Rockingham
Nottingham,1,4,17,"2, 32",Rockingham
Orange,2,1,2,"6, 16",Grafton
Orford,2,1,2,"3, 15",Grafton
Ossipee,1,1,3,"5, 8",Carroll
Pelham,2,3,22,37,Hillsborough
Pembroke,2,4,17,20,Merrimack
Peterborough,2,5,9,24,Hillsborough
Piermont,2,1,2,"3, 15",Grafton
Pittsburg,2,1,1,1,Coos
Pittsfield,2,4,17,"21, 29",Merrimack
