county,ocd_id,fips
Belknap,ocd-division/country:us/state:nh/county:belknap,1
Carroll,ocd-division/country:us/state:nh/county:carroll,3
Cheshire,ocd-division/country:us/state:nh/county:cheshire,5
Coos,ocd-division/country:us/state:nh/county:coos,7
Grafton,ocd-division/country:us/state:nh/county:grafton,9
Hillsborough,ocd-division/country:us/state:nh/county:hillsborough,11
Merrimack,ocd-division/country:us/state:nh/county:merrimack,13
Rockingham,ocd-division/country:us/state:nh/county:rockingham,15
Strafford,ocd-division/country:us/state:nh/county:strafford,17
Sullivan,ocd-division/country:us/state:nh/county:sullivan,19
