ocd_id,fips,name,results_name
ocd-division/country:us/state:oh/county:adams,39001,Adams County,Adams
ocd-division/country:us/state:oh/county:allen,39003,Allen County,Allen
ocd-division/country:us/state:oh/county:ashland,39005,Ashland County,Ashland
ocd-division/country:us/state:oh/county:ashtabula,39007,Ashtabula County,Ashtabula
ocd-division/country:us/state:oh/county:athens,39009,Athens County,Athens
ocd-division/country:us/state:oh/county:auglaize,39011,Auglaize County,Auglaize
ocd-division/country:us/state:oh/county:belmont,39013,Belmont County,Belmont
ocd-division/country:us/state:oh/county:brown,39015,Brown County,Brown
ocd-division/country:us/state:oh/county:butler,39017,Butler County,Butler
ocd-division/country:us/state:oh/county:carroll,39019,Carroll County,Carroll
ocd-division/country:us/state:oh/county:champaign,39021,Champaign County,Champaign
ocd-division/country:us/state:oh/county:champaign/place:adams,,Adams township,
ocd-division/country:us/state:oh/county:champaign/place:concord,,Concord township,
ocd-division/country:us/state:oh/county:champaign/place:goshen,,Goshen township,
ocd-division/country:us/state:oh/county:champaign/place:harrison,,Harrison township,
ocd-division/country:us/state:oh/county:champaign/place:jackson,,Jackson township,
ocd-division/country:us/state:oh/county:champaign/place:johnson,,Johnson township,
ocd-division/country:us/state:oh/county:champaign/place:mad_river,,Mad River township,
ocd-division/country:us/state:oh/county:champaign/place:rush,,Rush township,
ocd-division/country:us/state:oh/county:champaign/place:salem,,Salem township,
ocd-division/country:us/state:oh/county:champaign/place:union,,Union township,
ocd-division/country:us/state:oh/county:champaign/place:urbana,,Urbana township,
ocd-division/country:us/state:oh/county:champaign/place:wayne,,Wayne township,
ocd-division/country:us/state:oh/county:clark,39023,Clark County,Clark
ocd-division/country:us/state:oh/county:clark/place:bethel,,Bethel township,
ocd-division/country:us/state:oh/county:clark/place:german,,German township,
ocd-division/country:us/state:oh/county:clark/place:green,,Green township,
ocd-division/country:us/state:oh/county:clark/place:harmony,,Harmony township,
ocd-division/country:us/state:oh/county:clark/place:mad_river,,Mad River township,
ocd-division/country:us/state:oh/county:clark/place:madison,,Madison township,
ocd-division/country:us/state:oh/county:clark/place:moorefield,,Moorefield township,
ocd-division/country:us/state:oh/county:clark/place:pike,,Pike township,
ocd-division/country:us/state:oh/county:clark/place:pleasant,,Pleasant township,
ocd-division/country:us/state:oh/county:clark/place:springfield,,Springfield township,
ocd-division/country:us/state:oh/county:clermont,39025,Clermont County,Clermont
ocd-division/country:us/state:oh/county:clermont/place:batavia,,Batavia township,
ocd-division/country:us/state:oh/county:clermont/place:franklin,,Franklin township,
ocd-division/country:us/state:oh/county:clermont/place:goshen,,Goshen township,
ocd-division/country:us/state:oh/county:clermont/place:jackson,,Jackson township,
ocd-division/country:us/state:oh/county:clermont/place:miami,,Miami township,
ocd-division/country:us/state:oh/county:clermont/place:monroe,,Monroe township,
ocd-division/country:us/state:oh/county:clermont/place:ohio,,Ohio township,
ocd-division/country:us/state:oh/county:clermont/place:pierce,,Pierce township,
ocd-division/country:us/state:oh/county:clermont/place:stonelick,,Stonelick township,
ocd-division/country:us/state:oh/county:clermont/place:tate,,Tate township,
ocd-division/country:us/state:oh/county:clermont/place:union,,Union township,
ocd-division/country:us/state:oh/county:clermont/place:washington,,Washington township,
ocd-division/country:us/state:oh/county:clermont/place:wayne,,Wayne township,
ocd-division/country:us/state:oh/county:clermont/place:williamsburg,,Williamsburg township,
ocd-division/country:us/state:oh/county:clinton,39027,Clinton County,Clinton
ocd-division/country:us/state:oh/county:clinton/place:adams,,Adams township,
ocd-division/country:us/state:oh/county:clinton/place:chester,,Chester township,
ocd-division/country:us/state:oh/county:clinton/place:clark,,Clark township,
ocd-division/country:us/state:oh/county:clinton/place:green,,Green township,
ocd-division/country:us/state:oh/county:clinton/place:jefferson,,Jefferson township,
ocd-division/country:us/state:oh/county:clinton/place:liberty,,Liberty township,
ocd-division/country:us/state:oh/county:clinton/place:marion,,Marion township,
ocd-division/country:us/state:oh/county:clinton/place:richland,,Richland township,
ocd-division/country:us/state:oh/county:clinton/place:union,,Union township,
ocd-division/country:us/state:oh/county:clinton/place:vernon,,Vernon township,
ocd-division/country:us/state:oh/county:clinton/place:washington,,Washington township,
ocd-division/country:us/state:oh/county:clinton/place:wayne,,Wayne township,
ocd-division/country:us/state:oh/county:clinton/place:wilson,,Wilson township,
