county,ocd_id,fips
Alamance,ocd-division/country:us/state:nc/county:alamance,1
Alexander,ocd-division/country:us/state:nc/county:alexander,3
Alleghany,ocd-division/country:us/state:nc/county:alleghany,5
Anson,ocd-division/country:us/state:nc/county:anson,7
Ashe,ocd-division/country:us/state:nc/county:ashe,9
Avery,ocd-division/country:us/state:nc/county:avery,11
Beaufort,ocd-division/country:us/state:nc/county:beaufort,13
Bertie,ocd-division/country:us/state:nc/county:bertie,15
Bladen,ocd-division/country:us/state:nc/county:bladen,17
Brunswick,ocd-division/country:us/state:nc/county:brunswick,19
Buncombe,ocd-division/country:us/state:nc/county:buncombe,21
Burke,ocd-division/country:us/state:nc/county:burke,23
Cabarrus,ocd-division/country:us/state:nc/county:cabarrus,25
Caldwell,ocd-division/country:us/state:nc/county:caldwell,27
Camden,ocd-division/country:us/state:nc/county:camden,29
Carteret,ocd-division/country:us/state:nc/county:carteret,31
Caswell,ocd-division/country:us/state:nc/county:caswell,33
Catawba,ocd-division/country:us/state:nc/county:catawba,35
Chatham,ocd-division/country:us/state:nc/county:chatham,37
Cherokee,ocd-division/country:us/state:nc/county:cherokee,39
Chowan,ocd-division/country:us/state:nc/county:chowan,41
Clay,ocd-division/country:us/state:nc/county:clay,43
Cleveland,ocd-division/country:us/state:nc/county:cleveland,45
Columbus,ocd-division/country:us/state:nc/county:columbus,47
Craven,ocd-division/country:us/state:nc/county:craven,49
Cumberland,ocd-division/country:us/state:nc/county:cumberland,51
Currituck,ocd-division/country:us/state:nc/county:currituck,53
Dare,ocd-division/country:us/state:nc/county:dare,55
Davidson,ocd-division/country:us/state:nc/county:davidson,57
Davie,ocd-division/country:us/state:nc/county:davie,59
Duplin,ocd-division/country:us/state:nc/county:duplin,61
Durham,ocd-division/country:us/state:nc/county:durham,63
Edgecombe,ocd-division/country:us/state:nc/county:edgecombe,65
Forsyth,ocd-division/country:us/state:nc/county:forsyth,67
Franklin,ocd-division/country:us/state:nc/county:franklin,69
Gaston,ocd-division/country:us/state:nc/county:gaston,71
Gates,ocd-division/country:us/state:nc/county:gates,73
Graham,ocd-division/country:us/state:nc/county:graham,75
Granville,ocd-division/country:us/state:nc/county:granville,77
Greene,ocd-division/country:us/state:nc/county:greene,79
Guilford,ocd-division/country:us/state:nc/county:guilford,81
Halifax,ocd-division/country:us/state:nc/county:halifax,83
Harnett,ocd-division/country:us/state:nc/county:harnett,85
Haywood,ocd-division/country:us/state:nc/county:haywood,87
Henderson,ocd-division/country:us/state:nc/county:henderson,89
Hertford,ocd-division/country:us/state:nc/county:hertford,91
Hoke,ocd-division/country:us/state:nc/county:hoke,93
Hyde,ocd-division/country:us/state:nc/county:hyde,95
Iredell,ocd-division/country:us/state:nc/county:iredell,97
Jackson,ocd-division/country:us/state:nc/county:jackson,99
Johnston,ocd-division/country:us/state:nc/county:johnston,101
Jones,ocd-division/country:us/state:nc/county:jones,103
Lee,ocd-division/country:us/state:nc/county:lee,105
Lenoir,ocd-division/country:us/state:nc/county:lenoir,107
Lincoln,ocd-division/country:us/state:nc/county:lincoln,109
Macon,ocd-division/country:us/state:nc/county:macon,113
Madison,ocd-division/country:us/state:nc/county:madison,115
Martin,ocd-division/country:us/state:nc/county:martin,117
McDowell,ocd-division/country:us/state:nc/county:mcdowell,111
Mecklenburg,ocd-division/country:us/state:nc/county:mecklenburg,119
Mitchell,ocd-division/country:us/state:nc/county:mitchell,121
Montgomery,ocd-division/country:us/state:nc/county:montgomery,123
Moore,ocd-division/country:us/state:nc/county:moore,125
Nash,ocd-division/country:us/state:nc/county:nash,127
New Hanover,ocd-division/country:us/state:nc/county:new_hanover,129
Northampton,ocd-division/country:us/state:nc/county:northampton,131
Onslow,ocd-division/country:us/state:nc/county:onslow,133
Orange,ocd-division/country:us/state:nc/county:orange,135
Pamlico,ocd-division/country:us/state:nc/county:pamlico,137
Pasquotank,ocd-division/country:us/state:nc/county:pasquotank,139
Pender,ocd-division/country:us/state:nc/county:pender,141
Perquimans,ocd-division/country:us/state:nc/county:perquimans,143
Person,ocd-division/country:us/state:nc/county:person,145
Pitt,ocd-division/country:us/state:nc/county:pitt,147
Polk,ocd-division/country:us/state:nc/county:polk,149
Randolph,ocd-division/country:us/state:nc/county:randolph,151
Richmond,ocd-division/country:us/state:nc/county:richmond,153
Robeson,ocd-division/country:us/state:nc/county:robeson,155
Rockingham,ocd-division/country:us/state:nc/county:rockingham,157
Rowan,ocd-division/country:us/state:nc/county:rowan,159
Rutherford,ocd-division/country:us/state:nc/county:rutherford,161
Sampson,ocd-division/country:us/state:nc/county:sampson,163
Scotland,ocd-division/country:us/state:nc/county:scotland,165
Stanly,ocd-division/country:us/state:nc/county:stanly,167
Stokes,ocd-division/country:us/state:nc/county:stokes,169
Surry,ocd-division/country:us/state:nc/county:surry,171
Swain,ocd-division/country:us/state:nc/county:swain,173
Transylvania,ocd-division/country:us/state:nc/county:transylvania,175
Tyrrell,ocd-division/country:us/state:nc/county:tyrrell,177
Union,ocd-division/country:us/state:nc/county:union,179
Vance,ocd-division/country:us/state:nc/county:vance,181
Wake,ocd-division/country:us/state:nc/county:wake,183
Warren,ocd-division/country:us/state:nc/county:warren,185
Washington,ocd-division/country:us/state:nc/county:washington,187
Watauga,ocd-division/country:us/state:nc/county:watauga,189
Wayne,ocd-division/country:us/state:nc/county:wayne,191
Wilkes,ocd-division/country:us/state:nc/county:wilkes,193
Wilson,ocd-division/country:us/state:nc/county:wilson,195
Yadkin,ocd-division/country:us/state:nc/county:yadkin,197
Yancey,ocd-division/country:us/state:nc/county:yancey,199
