date,office,district,race_type,party,special,raw_extracted_filename,url
2000-05-02,auditor,,primary,democratic,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_Auditor_Dem_by_pct.xls
2000-05-02,auditor,,primary,republican,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_Auditor_Rep_by_pct.xls
2000-05-02,commissioner_of_agriculture,,primary,democratic,,,https://github.com/openelections/openelections-data-nc/raw/master/20000502__nc__democratic__primary__commissioner_of_agriculture__precinct.xls
2000-05-02,commissioner_of_agriculture,,primary,republican,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_Comm_of_Agriculture_Rep_by_pct.xls
2000-05-02,commissioner_of_labor,,primary,democratic,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_Comm_of_Labor_Dem_by_pct.xls
2000-05-02,commissioner_of_labor,,primary,republican,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_Comm_of_Labor_Rep_by_pct.xls
2000-05-02,house,,primary,,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_Congress_by_pct.xls
2000-05-02,governor,,primary,democratic,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_Governor_Dem_by_pct.xls
2000-05-02,governor,,primary,libertarian,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_Governor_Lib_by_pct.xls
2000-05-02,governor,,primary,republican,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_Governor_Rep_by_pct.xls
2000-05-02,lieutenant_governor,,primary,democratic,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_LT_Governor_Dem_by_pct.xls
2000-05-02,lieutenant_governor,,primary,republican,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_LT_Governor_Rep_by_pct.xls
2000-05-02,state_house,,primary,,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_NC_House_by_pct.xls
2000-05-02,president,,primary,democratic,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_President_Dem_by_pct.xls
2000-05-02,president,,primary,republican,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_President_Rep_by_pct.xls
2000-05-02,state_senate,,primary,,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_Senate_by_pct.xls
2000-05-02,treasurer,,primary,democratic,,,ftp://alt.ncsbe.gov/data/ElectResults/2000_05_02/20000502_results_Treasurer_Dem_by_pct.xls
2012-11-06,,,general,,,state_42923_114645.txt,ftp://alt.ncsbe.gov/enrs/priprecinct11xx06xx2012.zip
2012-05-08,,,primary,,,state_36596_85942.txt,ftp://alt.ncsbe.gov/enrs/priprecinct05xx08xx2012.zip
2012-07-17,,,primary_runoff,,,state_40173_91827.txt,ftp://alt.ncsbe.gov/enrs/priprecinct07xx17xx2012.zip
2006-11-07,,,general,,,priprecinct.txt,ftp://alt.ncsbe.gov/enrs/priprecinct11xx07xx2006.zip
2000-11-07,,,general,,,priprecinct11xx07xx2000.txt,ftp://alt.ncsbe.gov/enrs/priprecinct11xx07xx2000.zip
2004-11-02,,,general,,,priprecinct11xx02xx2004.txt,ftp://alt.ncsbe.gov/enrs/priprecinct11xx02xx2004.zip
2010-11-02,,,general,,,state_22580_39403.txt,ftp://alt.ncsbe.gov/enrs/priprecinct11xx02xx2010.zip
2002-11-05,,,general,,,priprecinct.txt,ftp://alt.ncsbe.gov/enrs/priprecinct11xx05xx2002.zip
2008-11-04,,,general,,,priprecinct11xx04xx2008.txt,ftp://alt.ncsbe.gov/enrs/priprecinct11xx04xx2008.zip
2010-05-04,,,primary,,,priprecinct05xx04xx2010.txt,ftp://alt.ncsbe.gov/enrs/priprecinct05xx04xx2010.zip
2010-06-22,,,primary_runoff,,,state_17242_29703.txt,ftp://alt.ncsbe.gov/enrs/priprecinct06xx22xx2010.zip
2008-05-06,,,primary,,,priprecinct05xx06xx2008.txt,ftp://alt.ncsbe.gov/enrs/priprecinct05xx06xx2008.zip
2006-05-02,,,primary,,,priprecinct.txt,ftp://alt.ncsbe.gov/enrs/priprecinct05xx02xx2006.zip
2006-05-30,,,primary_runoff,,,priprecinct.txt,ftp://alt.ncsbe.gov/enrs/priprecinct05xx30xx2006.zip
2006-09-12,,,primary,republican,1,priprecinct.txt,ftp://alt.ncsbe.gov/enrs/priprecinct09xx12xx2006.zip
2004-07-20,,,primary,,,priprecinct.txt,ftp://alt.ncsbe.gov/enrs/priprecinct07xx20xx2004.zip
2004-08-17,,,primary_runoff,,,priprecinct08xx17xx2004.txt,ftp://alt.ncsbe.gov/enrs/priprecinct08xx17xx2004.zip
2002-09-10,,,primary,,,priprecinct.txt,ftp://alt.ncsbe.gov/enrs/priprecinct09xx10xx2002.zip
2014-11-04,,,general,,,resultsPCT20141104.txt,ftp://alt.ncsbe.gov/ENRS/resultsPCT20141104.zip
2014-05-06,,,primary,,,resultsPCT20140506.txt,ftp://alt.ncsbe.gov/ENRS/resultsPCT20140506.zip
2014-07-15,,,primary_runoff,,,resultsPCT20140715.txt,ftp://alt.ncsbe.gov/enrs/priprecinct07xx17xx2012.zip
