date,jurisdiction,precinct,office,district,race_type,party,special,url,path
2014-11-04,,,,,general,,,http://www.silverstateelection.com/_xml/USandNV.xml,
2014-06-10,,,,,primary,,,http://www.nvsos.gov/silverstate2014pri/_xml/USandNV.xml,
2012-11-06,,,,,general,,,http://www.nvsos.gov/silverstate2012gen/_xml/USandNV.xml,
2014-06-10,Carson City,TRUE,,,primary,,,,20140610__nv__primary__carson_city__precinct.csv
2014-06-10,Churchill,TRUE,,,primary,,,,20140610__nv__primary__churchill__precinct.csv
2014-06-10,Clark,TRUE,,,primary,,,,20140610__nv__primary__clark__precinct.csv
2014-06-10,Douglas,TRUE,,,primary,,,,20140610__nv__primary__douglas__precinct.csv
2014-06-10,Elko,TRUE,,,primary,,,,20140610__nv__primary__elko__precinct.csv
2014-06-10,Esmeralda,TRUE,,,primary,,,,20140610__nv__primary__esmeralda__precinct.csv
2014-06-10,Eureka,TRUE,,,primary,,,,20140610__nv__primary__eureka__precinct.csv
2014-06-10,Humboldt,TRUE,,,primary,,,,20140610__nv__primary__humboldt__precinct.csv
2014-06-10,Lander,TRUE,,,primary,,,,20140610__nv__primary__lander__precinct.csv
2014-06-10,Lincoln,TRUE,,,primary,,,,20140610__nv__primary__lincoln__precinct.csv
2014-06-10,Lyon,TRUE,,,primary,,,,20140610__nv__primary__lyon__precinct.csv
2014-06-10,Mineral,TRUE,,,primary,,,,20140610__nv__primary__mineral__precinct.csv
2014-06-10,Nye,TRUE,,,primary,,,,20140610__nv__primary__nye__precinct.csv
2014-06-10,Pershing,TRUE,,,primary,,,,20140610__nv__primary__pershing__precinct.csv
2014-06-10,Storey,TRUE,,,primary,,,,20140610__nv__primary__storey__precinct.csv
2014-06-10,Washoe,TRUE,,,primary,,,,20140610__nv__primary__washoe__precinct.csv
2014-06-10,White Pine,TRUE,,,primary,,,,20140610__nv__primary__white_pine__precinct.csv
2012-11-06,Carson City,TRUE,,,general,,,,20121106__nv__general__carson_city__precinct.csv
2012-11-06,Churchill,TRUE,,,general,,,,20121106__nv__general__churchill__precinct.csv
2012-11-06,Clark,TRUE,,,general,,,,20121106__nv__general__clark__precinct.csv
2012-11-06,Douglas,TRUE,,,general,,,,20121106__nv__general__douglas__precinct.csv
2012-11-06,Elko,TRUE,,,general,,,,20121106__nv__general__elko__precinct.csv
2012-11-06,Esmeralda,TRUE,,,general,,,,20121106__nv__general__esmeralda__precinct.csv
2012-11-06,Eureka,TRUE,,,general,,,,20121106__nv__general__eureka__precinct.csv
2012-11-06,Humboldt,TRUE,,,general,,,,20121106__nv__general__humboldt__precinct.csv
2012-11-06,Lander,TRUE,,,general,,,,20121106__nv__general__lander__precinct.csv
2012-11-06,Lincoln,TRUE,,,general,,,,20121106__nv__general__lincoln__precinct.csv
2012-11-06,Lyon,TRUE,,,general,,,,20121106__nv__general__lyon__precinct.csv
2012-11-06,Mineral,TRUE,,,general,,,,20121106__nv__general__mineral__precinct.csv
2012-11-06,Nye,TRUE,,,general,,,,20121106__nv__general__nye__precinct.csv
2012-11-06,Pershing,TRUE,,,general,,,,20121106__nv__general__pershing__precinct.csv
2012-11-06,Storey,TRUE,,,general,,,,20121106__nv__general__storey__precinct.csv
2012-11-06,Washoe,TRUE,,,general,,,,20121106__nv__general__washoe__precinct.csv
2012-11-06,White Pine,TRUE,,,general,,,,20121106__nv__general__white_pine__precinct.csv
2012-07-12,Carson City,,,,primary,,,,20120712__nv__primary__carson_city.csv
2012-07-12,Churchill,,,,primary,,,,20120712__nv__primary__churchill.csv
2012-07-12,Clark,,,,primary,,,,20120712__nv__primary__clark.csv
2012-07-12,Douglas,,,,primary,,,,20120712__nv__primary__douglas.csv
2012-07-12,Elko,,,,primary,,,,20120712__nv__primary__elko.csv
2012-07-12,Esmeralda,,,,primary,,,,20120712__nv__primary__esmeralda.csv
2012-07-12,Eureka,,,,primary,,,,20120712__nv__primary__eureka.csv
2012-07-12,Humboldt,,,,primary,,,,20120712__nv__primary__humboldt.csv
2012-07-12,Lander,,,,primary,,,,20120712__nv__primary__lander.csv
2012-07-12,Lincoln,,,,primary,,,,20120712__nv__primary__lincoln.csv
2012-07-12,Lyon,,,,primary,,,,20120712__nv__primary__lyon.csv
2012-07-12,Mineral,,,,primary,,,,20120712__nv__primary__mineral.csv
2012-07-12,Nye,,,,primary,,,,20120712__nv__primary__nye.csv
2012-07-12,Pershing,,,,primary,,,,20120712__nv__primary__pershing.csv
2012-07-12,Storey,,,,primary,,,,20120712__nv__primary__storey.csv
2012-07-12,Washoe,,,,primary,,,,20120712__nv__primary__washoe.csv
2012-07-12,White Pine,,,,primary,,,,20120712__nv__primary__white_pine.csv
2012-07-12,Carson City,TRUE,,,primary,,,,20120712__nv__primary__carson_city__precinct.csv
2012-07-12,Churchill,TRUE,,,primary,,,,20120712__nv__primary__churchill__precinct.csv
2012-07-12,Clark,TRUE,,,primary,,,,20120712__nv__primary__clark__precinct.csv
2012-07-12,Douglas,TRUE,,,primary,,,,20120712__nv__primary__douglas__precinct.csv
2012-07-12,Elko,TRUE,,,primary,,,,20120712__nv__primary__elko__precinct.csv
2012-07-12,Esmeralda,TRUE,,,primary,,,,20120712__nv__primary__esmeralda__precinct.csv
2012-07-12,Eureka,TRUE,,,primary,,,,20120712__nv__primary__eureka__precinct.csv
2012-07-12,Humboldt,TRUE,,,primary,,,,20120712__nv__primary__humboldt__precinct.csv
2012-07-12,Lander,TRUE,,,primary,,,,20120712__nv__primary__lander__precinct.csv
2012-07-12,Lincoln,TRUE,,,primary,,,,20120712__nv__primary__lincoln__precinct.csv
2012-07-12,Lyon,TRUE,,,primary,,,,20120712__nv__primary__lyon__precinct.csv
2012-07-12,Mineral,TRUE,,,primary,,,,20120712__nv__primary__mineral__precinct.csv
