jurisdiction,ocd_id,fips
Carson City,ocd-division/country:us/state:nv/place:carson_city,510
Churchill,ocd-division/country:us/state:nv/county:churchill,1
Clark,ocd-division/country:us/state:nv/county:clark,3
Douglas,ocd-division/country:us/state:nv/county:douglas,5
Elko,ocd-division/country:us/state:nv/county:elko,7
Esmeralda,ocd-division/country:us/state:nv/county:esmeralda,9
Eureka,ocd-division/country:us/state:nv/county:eureka,11
Humboldt,ocd-division/country:us/state:nv/county:humboldt,13
Lander,ocd-division/country:us/state:nv/county:lander,15
Lincoln,ocd-division/country:us/state:nv/county:lincoln,17
Lyon,ocd-division/country:us/state:nv/county:lyon,19
Mineral,ocd-division/country:us/state:nv/county:mineral,21
Nye,ocd-division/country:us/state:nv/county:nye,23
Pershing,ocd-division/country:us/state:nv/county:pershing,27
Storey,ocd-division/country:us/state:nv/county:storey,29
Washoe,ocd-division/country:us/state:nv/county:washoe,31
White Pine,ocd-division/country:us/state:nv/county:white_pine,33
