state_id,name,ocd_id,fips
1,Adams,ocd-division/country:us/state:pa/county:adams,1
2,Allegheny,ocd-division/country:us/state:pa/county:allegheny,3
3,Armstrong,ocd-division/country:us/state:pa/county:armstrong,5
4,Beaver,ocd-division/country:us/state:pa/county:beaver,7
5,Bedford,ocd-division/country:us/state:pa/county:bedford,9
6,Berks,ocd-division/country:us/state:pa/county:berks,11
7,Blair,ocd-division/country:us/state:pa/county:blair,13
8,Bradford,ocd-division/country:us/state:pa/county:bradford,15
9,Bucks,ocd-division/country:us/state:pa/county:bucks,17
10,Butler,ocd-division/country:us/state:pa/county:butler,19
11,Cambria,ocd-division/country:us/state:pa/county:cambria,21
12,Cameron,ocd-division/country:us/state:pa/county:cameron,23
13,Carbon,ocd-division/country:us/state:pa/county:carbon,25
14,Centre,ocd-division/country:us/state:pa/county:centre,27
15,Chester,ocd-division/country:us/state:pa/county:chester,29
16,Clarion,ocd-division/country:us/state:pa/county:clarion,31
17,Clearfield,ocd-division/country:us/state:pa/county:clearfield,33
18,Clinton,ocd-division/country:us/state:pa/county:clinton,35
19,Columbia,ocd-division/country:us/state:pa/county:columbia,37
20,Crawford,ocd-division/country:us/state:pa/county:crawford,39
21,Cumberland,ocd-division/country:us/state:pa/county:cumberland,41
22,Dauphin,ocd-division/country:us/state:pa/county:dauphin,43
23,Delaware,ocd-division/country:us/state:pa/county:delaware,45
24,Elk,ocd-division/country:us/state:pa/county:elk,47
25,Erie,ocd-division/country:us/state:pa/county:erie,49
26,Fayette,ocd-division/country:us/state:pa/county:fayette,51
27,Forest,ocd-division/country:us/state:pa/county:forest,53
28,Franklin,ocd-division/country:us/state:pa/county:franklin,55
29,Fulton,ocd-division/country:us/state:pa/county:fulton,57
30,Greene,ocd-division/country:us/state:pa/county:greene,59
31,Huntingdon,ocd-division/country:us/state:pa/county:huntingdon,61
32,Indiana,ocd-division/country:us/state:pa/county:indiana,63
33,Jefferson,ocd-division/country:us/state:pa/county:jefferson,65
34,Juniata,ocd-division/country:us/state:pa/county:juniata,67
35,Lackawanna,ocd-division/country:us/state:pa/county:lackawanna,69
36,Lancaster,ocd-division/country:us/state:pa/county:lancaster,71
37,Lawrence,ocd-division/country:us/state:pa/county:lawrence,73
38,Lebanon,ocd-division/country:us/state:pa/county:lebanon,75
39,Lehigh,ocd-division/country:us/state:pa/county:lehigh,77
40,Luzerne,ocd-division/country:us/state:pa/county:luzerne,79
41,Lycoming,ocd-division/country:us/state:pa/county:lycoming,81
42,McKean,ocd-division/country:us/state:pa/county:mckean,83
43,Mercer,ocd-division/country:us/state:pa/county:mercer,85
44,Mifflin,ocd-division/country:us/state:pa/county:mifflin,87
45,Monroe,ocd-division/country:us/state:pa/county:monroe,89
46,Montgomery,ocd-division/country:us/state:pa/county:montgomery,91
47,Montour,ocd-division/country:us/state:pa/county:montour,93
48,Northampton,ocd-division/country:us/state:pa/county:northampton,95
49,Northumberland,ocd-division/country:us/state:pa/county:northumberland,97
50,Perry,ocd-division/country:us/state:pa/county:perry,99
51,Philadelphia,ocd-division/country:us/state:pa/county:philadelphia,101
52,Pike,ocd-division/country:us/state:pa/county:pike,103
53,Potter,ocd-division/country:us/state:pa/county:potter,105
54,Schuylkill,ocd-division/country:us/state:pa/county:schuylkill,107
55,Snyder,ocd-division/country:us/state:pa/county:snyder,109
56,Somerset,ocd-division/country:us/state:pa/county:somerset,111
57,Sullivan,ocd-division/country:us/state:pa/county:sullivan,113
58,Susquehanna,ocd-division/country:us/state:pa/county:susquehanna,115
59,Tioga,ocd-division/country:us/state:pa/county:tioga,117
60,Union,ocd-division/country:us/state:pa/county:union,119
61,Venango,ocd-division/country:us/state:pa/county:venango,121
62,Warren,ocd-division/country:us/state:pa/county:warren,123
63,Washington,ocd-division/country:us/state:pa/county:washington,125
64,Wayne,ocd-division/country:us/state:pa/county:wayne,127
65,Westmoreland,ocd-division/country:us/state:pa/county:westmoreland,129
66,Wyoming,ocd-division/country:us/state:pa/county:wyoming,131
67,York,ocd-division/country:us/state:pa/county:york,133
