date,office,district,race_type,party,special
2001-08-14,state_house,2,general,,TRUE
2000-04-04,,,primary,,
2000-11-07,,,general,,
2001-03-20,state_senate,,general,,TRUE
2001-06-26,state_house,28,general,,TRUE
2001-11-06,,,general,,TRUE
2002-02-12,state_house,149,general,,TRUE
2002-04-23,state_house,176,general,,TRUE
2002-05-21,,,primary,,
2002-07-16,state_house,100,general,,TRUE
2002-10-01,state_senate,9,general,,TRUE
2002-11-05,,,general,,
2003-03-11,state_senate,37,general,,TRUE
2003-03-18,state_house,99,general,,TRUE
2003-06-17,state_house,,general,,TRUE
2003-07-22,state_house,3,general,,TRUE
2003-11-04,state_senate,27,general,,TRUE
2004-01-27,state_house,109,general,,TRUE
2004-03-09,state_house,152,general,,TRUE
2004-04-27,,,primary,,
2004-11-02,,,general,,
2005-02-08,state_house,189,general,,TRUE
2005-04-05,state_senate,16,general,,TRUE
2005-05-17,state_senate,,general,,TRUE
2005-05-20,state_house,200,general,,TRUE
2005-07-19,state_house,131,general,,TRUE
2006-03-14,state_house,174,general,,TRUE
2006-04-11,state_house,30,general,,TRUE
2006-05-16,,,primary,,
2006-05-16,state_senate,19,general,,TRUE
2006-11-07,,,general,,
2008-04-22,,,primary,,
2008-11-04,,,general,,
2009-03-03,state_senate,29,general,,TRUE
2009-05-19,state_house,124,general,,TRUE
2009-09-29,state_senate,24,general,,TRUE
2010-05-18,,,primary,,
2010-05-18,,,general,,TRUE
2010-11-02,,,general,,
2010-11-02,state_senate,45,general,,TRUE
2011-02-01,state_house,185,general,,TRUE
2011-03-15,state_senate,11,general,,TRUE
2012-04-24,,,primary,,
2012-04-24,,,general,,TRUE
2012-08-07,state_senate,40,general,,TRUE
2012-11-06,,,general,,
2014-05-20,,,primary,,
2014-11-04,,,general,,
2013-05-21,,,general,,TRUE
2014-01-28,state_house,78,general,,TRUE
2014-03-18,state_senate,28,general,,TRUE
