county,fips,ocd_id
Apache,1,ocd-division/country:us/state:az/county:apache
Cochise,3,ocd-division/country:us/state:az/county:cochise
Coconino,5,ocd-division/country:us/state:az/county:coconino
Gila,7,ocd-division/country:us/state:az/county:gila
Graham,9,ocd-division/country:us/state:az/county:graham
Greenlee,11,ocd-division/country:us/state:az/county:greenlee
La Paz,12,ocd-division/country:us/state:az/county:la_paz
Maricopa,13,ocd-division/country:us/state:az/county:maricopa
Mohave,15,ocd-division/country:us/state:az/county:mohave
Navajo,17,ocd-division/country:us/state:az/county:navajo
Pima,19,ocd-division/country:us/state:az/county:pima
Pinal,21,ocd-division/country:us/state:az/county:pinal
Santa Cruz,23,ocd-division/country:us/state:az/county:santa_cruz
Yavapai,25,ocd-division/country:us/state:az/county:yavapai
Yuma,27,ocd-division/country:us/state:az/county:yuma
