date,county,office,district,race_type,party,special
2014-11-04,,,,general,,
2014-08-26,,,,primary,,
2012-11-06,,,,general,,
2012-08-28,,,,primary,,
2012-06-12,,U.S. House,8,general,,TRUE
2012-04-17,,U.S. House,8,primary,,TRUE
2012-02-28,,President,,primary,,
2011-11-08,,State Senate,18,recall,,
2010-11-02,,,,general,,
2010-08-24,,,,primary,,
2008-11-04,,,,general,,
2008-09-02,,,,primary,,
2008-02-05,,President,,primary,,
2006-11-07,,,,general,,
2006-09-12,,,,primary,,
2004-11-02,,,,general,,
2004-09-07,,,,primary,,
2004-02-03,,President,,primary,,
2002-11-05,,,,general,,
2002-09-07,,,,primary,,
2000-11-07,,,,general,,
2000-09-12,,,,primary,,
2000-02-22,,President,,primary,,
