name,ocd_id
Abbeville,ocd-division/country:us/state:sc/county:abbeville
Aiken,ocd-division/country:us/state:sc/county:aiken
Allendale,ocd-division/country:us/state:sc/county:allendale
Anderson,ocd-division/country:us/state:sc/county:anderson
Bamberg,ocd-division/country:us/state:sc/county:bamberg
Barnwell,ocd-division/country:us/state:sc/county:barnwell
Beaufort,ocd-division/country:us/state:sc/county:beaufort
Berkeley,ocd-division/country:us/state:sc/county:berkeley
Calhoun,ocd-division/country:us/state:sc/county:calhoun
Charleston,ocd-division/country:us/state:sc/county:charleston
Cherokee,ocd-division/country:us/state:sc/county:cherokee
Chester,ocd-division/country:us/state:sc/county:chester
Chesterfield,ocd-division/country:us/state:sc/county:chesterfield
Clarendon,ocd-division/country:us/state:sc/county:clarendon
Colleton,ocd-division/country:us/state:sc/county:colleton
Darlington,ocd-division/country:us/state:sc/county:darlington
Dillon,ocd-division/country:us/state:sc/county:dillon
Dorchester,ocd-division/country:us/state:sc/county:dorchester
Edgefield,ocd-division/country:us/state:sc/county:edgefield
Fairfield,ocd-division/country:us/state:sc/county:fairfield
Florence,ocd-division/country:us/state:sc/county:florence
Georgetown,ocd-division/country:us/state:sc/county:georgetown
Greenville,ocd-division/country:us/state:sc/county:greenville
Greenwood,ocd-division/country:us/state:sc/county:greenwood
Hampton,ocd-division/country:us/state:sc/county:hampton
Horry,ocd-division/country:us/state:sc/county:horry
Jasper,ocd-division/country:us/state:sc/county:jasper
Kershaw,ocd-division/country:us/state:sc/county:kershaw
Lancaster,ocd-division/country:us/state:sc/county:lancaster
Laurens,ocd-division/country:us/state:sc/county:laurens
Lee,ocd-division/country:us/state:sc/county:lee
Lexington,ocd-division/country:us/state:sc/county:lexington
Marion,ocd-division/country:us/state:sc/county:marion
Marlboro,ocd-division/country:us/state:sc/county:marlboro
McCormick,ocd-division/country:us/state:sc/county:mccormick
Newberry,ocd-division/country:us/state:sc/county:newberry
Oconee,ocd-division/country:us/state:sc/county:oconee
Orangeburg,ocd-division/country:us/state:sc/county:orangeburg
Pickens,ocd-division/country:us/state:sc/county:pickens
Richland,ocd-division/country:us/state:sc/county:richland
Saluda,ocd-division/country:us/state:sc/county:saluda
Spartanburg,ocd-division/country:us/state:sc/county:spartanburg
Sumter,ocd-division/country:us/state:sc/county:sumter
Union,ocd-division/country:us/state:sc/county:union
Williamsburg,ocd-division/country:us/state:sc/county:williamsburg
York,ocd-division/country:us/state:sc/county:york
