ocd_id,name,fips
ocd-division/country:us/state:ia/county:adair,Adair,19001
ocd-division/country:us/state:ia/county:adams,Adams,19003
ocd-division/country:us/state:ia/county:allamakee,Allamakee,19005
ocd-division/country:us/state:ia/county:appanoose,Appanoose,19007
ocd-division/country:us/state:ia/county:audubon,Audubon,19009
ocd-division/country:us/state:ia/county:benton,Benton,19011
ocd-division/country:us/state:ia/county:black_hawk,Black Hawk,19013
ocd-division/country:us/state:ia/county:boone,Boone,19015
ocd-division/country:us/state:ia/county:bremer,Bremer,19017
ocd-division/country:us/state:ia/county:buchanan,Buchanan,19019
ocd-division/country:us/state:ia/county:buena_vista,Buena Vista,19021
ocd-division/country:us/state:ia/county:butler,Butler,19023
ocd-division/country:us/state:ia/county:calhoun,Calhoun,19025
ocd-division/country:us/state:ia/county:carroll,Carroll,19027
ocd-division/country:us/state:ia/county:cass,Cass,19029
ocd-division/country:us/state:ia/county:cedar,Cedar,19031
ocd-division/country:us/state:ia/county:cerro_gordo,Cerro Gordo,19033
ocd-division/country:us/state:ia/county:cherokee,Cherokee,19035
ocd-division/country:us/state:ia/county:chickasaw,Chickasaw,19037
ocd-division/country:us/state:ia/county:clarke,Clarke,19039
ocd-division/country:us/state:ia/county:clay,Clay,19041
ocd-division/country:us/state:ia/county:clayton,Clayton,19043
ocd-division/country:us/state:ia/county:clinton,Clinton,19045
ocd-division/country:us/state:ia/county:crawford,Crawford,19047
ocd-division/country:us/state:ia/county:dallas,Dallas,19049
ocd-division/country:us/state:ia/county:davis,Davis,19051
ocd-division/country:us/state:ia/county:decatur,Decatur,19053
ocd-division/country:us/state:ia/county:delaware,Delaware,19055
ocd-division/country:us/state:ia/county:des_moines,Des Moines,19057
ocd-division/country:us/state:ia/county:dickinson,Dickinson,19059
ocd-division/country:us/state:ia/county:dubuque,Dubuque,19061
ocd-division/country:us/state:ia/county:emmet,Emmet,19063
ocd-division/country:us/state:ia/county:fayette,Fayette,19065
ocd-division/country:us/state:ia/county:floyd,Floyd,19067
ocd-division/country:us/state:ia/county:franklin,Franklin,19069
ocd-division/country:us/state:ia/county:fremont,Fremont,19071
ocd-division/country:us/state:ia/county:greene,Greene,19073
ocd-division/country:us/state:ia/county:grundy,Grundy,19075
ocd-division/country:us/state:ia/county:guthrie,Guthrie,19077
ocd-division/country:us/state:ia/county:hamilton,Hamilton,19079
ocd-division/country:us/state:ia/county:hancock,Hancock,19081
ocd-division/country:us/state:ia/county:hardin,Hardin,19083
ocd-division/country:us/state:ia/county:harrison,Harrison,19085
ocd-division/country:us/state:ia/county:henry,Henry,19087
ocd-division/country:us/state:ia/county:howard,Howard,19089
ocd-division/country:us/state:ia/county:humboldt,Humboldt,19091
ocd-division/country:us/state:ia/county:ida,Ida,19093
ocd-division/country:us/state:ia/county:iowa,Iowa,19095
ocd-division/country:us/state:ia/county:jackson,Jackson,19097
ocd-division/country:us/state:ia/county:jasper,Jasper,19099
ocd-division/country:us/state:ia/county:jefferson,Jefferson,19101
ocd-division/country:us/state:ia/county:johnson,Johnson,19103
ocd-division/country:us/state:ia/county:jones,Jones,19105
ocd-division/country:us/state:ia/county:keokuk,Keokuk,19107
ocd-division/country:us/state:ia/county:kossuth,Kossuth,19109
ocd-division/country:us/state:ia/county:lee,Lee,19111
ocd-division/country:us/state:ia/county:linn,Linn,19113
ocd-division/country:us/state:ia/county:louisa,Louisa,19115
ocd-division/country:us/state:ia/county:lucas,Lucas,19117
ocd-division/country:us/state:ia/county:lyon,Lyon,19119
ocd-division/country:us/state:ia/county:madison,Madison,19121
ocd-division/country:us/state:ia/county:mahaska,Mahaska,19123
ocd-division/country:us/state:ia/county:marion,Marion,19125
ocd-division/country:us/state:ia/county:marshall,Marshall,19127
ocd-division/country:us/state:ia/county:mills,Mills,19129
ocd-division/country:us/state:ia/county:mitchell,Mitchell,19131
ocd-division/country:us/state:ia/county:monona,Monona,19133
ocd-division/country:us/state:ia/county:monroe,Monroe,19135
ocd-division/country:us/state:ia/county:montgomery,Montgomery,19137
ocd-division/country:us/state:ia/county:muscatine,Muscatine,19139
ocd-division/country:us/state:ia/county:osceola,Osceola,19143
ocd-division/country:us/state:ia/county:o~brien,O'Brien,19141
ocd-division/country:us/state:ia/county:page,Page,19145
ocd-division/country:us/state:ia/county:palo_alto,Palo Alto,19147
ocd-division/country:us/state:ia/county:plymouth,Plymouth,19149
ocd-division/country:us/state:ia/county:pocahontas,Pocahontas,19151
ocd-division/country:us/state:ia/county:polk,Polk,19153
ocd-division/country:us/state:ia/county:pottawattamie,Pottawattamie,19155
ocd-division/country:us/state:ia/county:poweshiek,Poweshiek,19157
ocd-division/country:us/state:ia/county:ringgold,Ringgold,19159
ocd-division/country:us/state:ia/county:sac,Sac,19161
ocd-division/country:us/state:ia/county:scott,Scott,19163
ocd-division/country:us/state:ia/county:shelby,Shelby,19165
ocd-division/country:us/state:ia/county:sioux,Sioux,19167
ocd-division/country:us/state:ia/county:story,Story,19169
ocd-division/country:us/state:ia/county:tama,Tama,19171
ocd-division/country:us/state:ia/county:taylor,Taylor,19173
ocd-division/country:us/state:ia/county:union,Union,19175
ocd-division/country:us/state:ia/county:van_buren,Van Buren,19177
ocd-division/country:us/state:ia/county:wapello,Wapello,19179
ocd-division/country:us/state:ia/county:warren,Warren,19181
ocd-division/country:us/state:ia/county:washington,Washington,19183
ocd-division/country:us/state:ia/county:wayne,Wayne,19185
ocd-division/country:us/state:ia/county:webster,Webster,19187
ocd-division/country:us/state:ia/county:winnebago,Winnebago,19189
ocd-division/country:us/state:ia/county:winneshiek,Winneshiek,19191
ocd-division/country:us/state:ia/county:woodbury,Woodbury,19193
ocd-division/country:us/state:ia/county:worth,Worth,19195
ocd-division/country:us/state:ia/county:wright,Wright,19197
