ocd_id,fips,county
ocd-division/country:us/state:wv/county:barbour,1,Barbour
ocd-division/country:us/state:wv/county:berkeley,3,Berkeley
ocd-division/country:us/state:wv/county:boone,5,Boone
ocd-division/country:us/state:wv/county:braxton,7,Braxton
ocd-division/country:us/state:wv/county:brooke,9,Brooke
ocd-division/country:us/state:wv/county:cabell,11,Cabell
ocd-division/country:us/state:wv/county:calhoun,13,Calhoun
ocd-division/country:us/state:wv/county:clay,15,Clay
ocd-division/country:us/state:wv/county:doddridge,17,Doddridge
ocd-division/country:us/state:wv/county:fayette,19,Fayette
ocd-division/country:us/state:wv/county:gilmer,21,Gilmer
ocd-division/country:us/state:wv/county:grant,23,Grant
ocd-division/country:us/state:wv/county:greenbrier,25,Greenbrier
ocd-division/country:us/state:wv/county:hampshire,27,Hampshire
ocd-division/country:us/state:wv/county:hancock,29,Hancock
ocd-division/country:us/state:wv/county:hardy,31,Hardy
ocd-division/country:us/state:wv/county:harrison,33,Harrison
ocd-division/country:us/state:wv/county:jackson,35,Jackson
ocd-division/country:us/state:wv/county:jefferson,37,Jefferson
ocd-division/country:us/state:wv/county:kanawha,39,Kanawha
ocd-division/country:us/state:wv/county:lewis,41,Lewis
ocd-division/country:us/state:wv/county:lincoln,43,Lincoln
ocd-division/country:us/state:wv/county:logan,45,Logan
ocd-division/country:us/state:wv/county:marion,49,Marion
ocd-division/country:us/state:wv/county:marshall,51,Marshall
ocd-division/country:us/state:wv/county:mason,53,Mason
ocd-division/country:us/state:wv/county:mcdowell,47,McDowell
ocd-division/country:us/state:wv/county:mercer,55,Mercer
ocd-division/country:us/state:wv/county:mineral,57,Mineral
ocd-division/country:us/state:wv/county:mingo,59,Mingo
ocd-division/country:us/state:wv/county:monongalia,61,Monongalia
ocd-division/country:us/state:wv/county:monroe,63,Monroe
ocd-division/country:us/state:wv/county:morgan,65,Morgan
ocd-division/country:us/state:wv/county:nicholas,67,Nicholas
ocd-division/country:us/state:wv/county:ohio,69,Ohio
ocd-division/country:us/state:wv/county:pendleton,71,Pendleton
ocd-division/country:us/state:wv/county:pleasants,73,Pleasants
ocd-division/country:us/state:wv/county:pocahontas,75,Pocahontas
ocd-division/country:us/state:wv/county:preston,77,Preston
ocd-division/country:us/state:wv/county:putnam,79,Putnam
ocd-division/country:us/state:wv/county:raleigh,81,Raleigh
ocd-division/country:us/state:wv/county:randolph,83,Randolph
ocd-division/country:us/state:wv/county:ritchie,85,Ritchie
ocd-division/country:us/state:wv/county:roane,87,Roane
ocd-division/country:us/state:wv/county:summers,89,Summers
ocd-division/country:us/state:wv/county:taylor,91,Taylor
ocd-division/country:us/state:wv/county:tucker,93,Tucker
ocd-division/country:us/state:wv/county:tyler,95,Tyler
ocd-division/country:us/state:wv/county:upshur,97,Upshur
ocd-division/country:us/state:wv/county:wayne,99,Wayne
ocd-division/country:us/state:wv/county:webster,101,Webster
ocd-division/country:us/state:wv/county:wetzel,103,Wetzel
ocd-division/country:us/state:wv/county:wirt,105,Wirt
ocd-division/country:us/state:wv/county:wood,107,Wood
ocd-division/country:us/state:wv/county:wyoming,109,Wyoming
