date,office,district,race_type,party,special,path,data_url
2006-11-07,senate,,general,,,2006%20US%20Senate%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20061107__wv__general__senate.csv
2006-11-07,house,,general,,,2006%20House%20of%20Rep%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20061107__wv__general__house.csv
2006-11-07,state_senate,,general,,,2006%20State%20Senate%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20061107__wv__general__state_senate.csv
2006-11-07,house_of_delegates,,general,,,2006%20House%20of%20Delegates%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20061107__wv__general__house_of_delegates.csv
2006-05-09,senate,,primary,,,2006%20US%20Senate%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20060509__wv__primary__senate.csv
2006-05-09,house,,primary,,,2006%20House%20of%20Rep%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20060509__wv__primary__house.csv
2006-05-09,state_senate,,primary,,,2006%20State%20Senate%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20060509__wv__primary__state_senate.csv
2004-11-02,president,,general,,,2004%20President%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20041102__wv__general__president.csv
2004-11-02,house,,general,,,2004%20House%20of%20Rep%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20041102__wv__general__house.csv
2004-11-02,governor,,general,,,2004%20Governor%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20041102__wv__general__governor.csv
2004-11-02,secretary_of_state,,general,,,2004%20SoS%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20041102__wv__general__secretary_of_state.csv
2004-11-02,auditor,,general,,,2004%20Auditor%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20041102__wv__general__auditor.csv
2004-11-02,state_treasurer,,general,,,2004%20State%20Treasurer%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20041102__wv__general__state_treasurer.csv
2004-11-02,commissioner_of_agriculture,,general,,,2004%20Com%20of%20Ag%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20041102__wv__general__commissioner_of_agriculture.csv
2004-11-02,attorney_general,,general,,,2004%20Attorney%20General%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20041102__wv__general__attorney_general.csv
2004-11-02,state_senate,,general,,,2004%20State%20Senate%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20041102__wv__general__state_senate.csv
2004-11-02,house_of_delegates,,general,,,2004%20House%20of%20Delegates%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20041102__wv__general__house_of_delegates.csv
2004-05-11,president,,primary,,,2004%20President%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20040511__wv__primary__president.csv
2004-05-11,house,,primary,,,2004%20House%20of%20Rep%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20040511__wv__primary__house.csv
2004-05-11,governor,,primary,,,2004%20Governor%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20040511__wv__primary__governor.csv
2004-05-11,secretary_of_state,,primary,,,2004%20SoS%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20040511__wv__primary__secretary_of_state.csv
2004-05-11,auditor,,primary,,,2004%20Auditor%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20040511__wv__primary__auditor.csv
2004-05-11,state_treasurer,,primary,,,2004%20State%20Treasurer%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20040511__wv__primary__state_treasurer.csv
2004-05-11,commissioner_of_agriculture,,primary,,,2004%20Com%20of%20Ag%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20040511__wv__primary__commissioner_of_agriculture.csv
2004-05-11,attorney_general,,primary,,,2004%20Attorney%20General%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20040511__wv__primary__attorney_general.csv
2004-05-11,state_senate,,primary,,,2004%20State%20Senate%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20040511__wv__primary__state_senate.csv
2004-05-11,house_of_delegates,,primary,,,2004%20House%20of%20Delegates%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20040511__wv__primary__house_of_delegates.csv
2002-11-05,senate,,general,,,2002%20US%20Senate%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20021105__wv__general__senate.csv
2002-11-05,house,,general,,,2002%20House%20of%20Rep%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20021105__wv__general__house.csv
2002-11-05,state_senate,,general,,,2002%20State%20Senate%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20021105__wv__general__state_senate.csv
2002-11-05,house_of_delegates,,general,,,2002%20House%20of%20Delegates%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20021105__wv__general__house_of_delegates.csv
2002-05-14,senate,,primary,,,2002%20US%20Senate%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20020514__wv__primary__senate.csv
2002-05-14,house,,primary,,,2002%20House%20of%20Rep%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20020514__wv__primary__house.csv
2002-05-14,state_senate,,primary,,,2002%20State%20Senate%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20020514__wv__primary__state_senate.csv
2002-05-14,house_of_delegates,,primary,,,2002%20House%20of%20Delegates%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20020514__wv__primary__house_of_delegates.csv
2000-11-07,president,,general,,,2000%20US%20President%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20001107__wv__general__president.csv
2000-11-07,senate,,general,,,2000%20US%20Senate%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20001107__wv__general__senate.csv
2000-11-07,house,,general,,,2000%20House%20of%20Rep%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20001107__wv__general__house.csv
2000-11-07,governor,,general,,,2000%20Governor%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20001107__wv__general__governor.csv
2000-11-07,secretary_of_state,,general,,,2000%20SoS%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20001107__wv__general__secretary_of_state.csv
2000-11-07,auditor,,general,,,2000%20Auditor%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20001107__wv__general__auditor.csv
2000-11-07,state_treasurer,,general,,,2000%20Treasurer%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20001107__wv__general__state_treasurer.csv
2000-11-07,commissioner_of_agriculture,,general,,,2000%20Com%20of%20Ag%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20001107__wv__general__commissioner_of_agriculture.csv
2000-11-07,attorney_general,,general,,,2000%20Attorney%20General%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20001107__wv__general__attorney_general.csv
2000-11-07,state_senate,,general,,,2000%20State%20Senate%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20001107__wv__general__state_senate.csv
