date,race_type,raw_extracted_filename,special
2014-11-04,general,rigen2014l.asc,
2014-09-09,primary,ripri2014l.asc,
2012-11-06,general,rigen2012l.asc,
2012-09-11,primary,ripri2012l.asc,
2012-04-24,primary,ppp2012l.asc,
2010-11-02,general,rigen2010l.asc,
2010-09-23,primary,ripri2010l.asc,
2008-11-04,general,rigen2008l.asc,
2008-09-09,primary,ripri2008l.asc,
2008-03-04,primary,ppp2008l.asc,
2006-11-07,general,SUMMARY_FORMATTED2.xls,
2006-09-12,primary,RIPRIM06.xls,
2004-11-02,general,RIGEN04_ Formatted.xls,
2002-11-05,general,FED_STATE_b1_21.xls,
2000-11-07,general,,
2000-09-12,primary,,
2000-03-07,primary,,
2002-09-10,primary,,
2004-09-14,primary,,
2004-03-02,primary,,
