ocd_id,name,type,slug
ocd-division/country:us/state:ri/county:bristol,Bristol,county,
ocd-division/country:us/state:ri/county:kent,Kent,county,
ocd-division/country:us/state:ri/county:newport,Newport,county,
ocd-division/country:us/state:ri/county:providence,Providence,county,
ocd-division/country:us/state:ri/county:washington,Washington,county,
ocd-division/country:us/state:ri/place:barrington,Barrington,municipality,barr
ocd-division/country:us/state:ri/place:bristol,Bristol,municipality,bristol
ocd-division/country:us/state:ri/place:burrillville,Burrillville,municipality,burr
ocd-division/country:us/state:ri/place:central_falls,Central Falls,municipality,cent
ocd-division/country:us/state:ri/place:charlestown,Charlestown,municipality,charlestown
ocd-division/country:us/state:ri/place:coventry,Coventry,municipality,coventry
ocd-division/country:us/state:ri/place:cranston,Cranston,municipality,cranston
ocd-division/country:us/state:ri/place:cumberland,Cumberland,municipality,cumber
ocd-division/country:us/state:ri/place:east_greenwich,East Greenwich,municipality,egreen
ocd-division/country:us/state:ri/place:east_providence,East Providence,municipality,eastprov
ocd-division/country:us/state:ri/place:exeter,Exeter,municipality,exeter
ocd-division/country:us/state:ri/place:foster,Foster,municipality,foster
ocd-division/country:us/state:ri/place:glocester,Glocester,municipality,gloc
ocd-division/country:us/state:ri/place:hopkinton,Hopkinton,municipality,hop
ocd-division/country:us/state:ri/place:jamestown,Jamestown,municipality,james
ocd-division/country:us/state:ri/place:johnston,Johnston,municipality,john
ocd-division/country:us/state:ri/place:lincoln,Lincoln,municipality,linc
ocd-division/country:us/state:ri/place:little_compton,Little Compton,municipality,littlecomp
ocd-division/country:us/state:ri/place:middletown,Middletown,municipality,middle
ocd-division/country:us/state:ri/place:narragansett,Narragansett,municipality,narr
ocd-division/country:us/state:ri/place:new_shoreham,New Shoreham,municipality,newshore
ocd-division/country:us/state:ri/place:newport,Newport,municipality,newport
ocd-division/country:us/state:ri/place:north_kingstown,North Kingstown,municipality,nking
ocd-division/country:us/state:ri/place:north_providence,North Providence,municipality,nprov
ocd-division/country:us/state:ri/place:north_smithfield,North Smithfield,municipality,nsmith
ocd-division/country:us/state:ri/place:pawtucket,Pawtucket,municipality,paw
ocd-division/country:us/state:ri/place:portsmouth,Portsmouth,municipality,port
ocd-division/country:us/state:ri/place:providence,Providence,municipality,prov
ocd-division/country:us/state:ri/place:richmond,Richmond,municipality,richmond
ocd-division/country:us/state:ri/place:scituate,Scituate,municipality,scituate
ocd-division/country:us/state:ri/place:smithfield,Smithfield,municipality,smith
ocd-division/country:us/state:ri/place:south_kingstown,South Kingstown,municipality,sking
ocd-division/country:us/state:ri/place:tiverton,Tiverton,municipality,tiv
ocd-division/country:us/state:ri/place:warren,Warren,municipality,warren
ocd-division/country:us/state:ri/place:warwick,Warwick,municipality,warwick
ocd-division/country:us/state:ri/place:west_greenwich,West Greenwich,municipality,wgreen
ocd-division/country:us/state:ri/place:west_warwick,West Warwick,municipality,wwar
ocd-division/country:us/state:ri/place:westerly,Westerly,municipality,westerly
ocd-division/country:us/state:ri/place:woonsocket,Woonsocket,municipality,woonsocket
