"state","name","district","chamber"
"US","President",,
"VT","U.S. Senate",,"upper"
"VT","U.S. House of Representatives",,"lower"
"VT","Governor",,
"VT","Lieutenant Governor",,
"VT","Treasurer",,
"VT","Secretary of State",,
"VT","Attorney General",,
"VT","Auditor",,
"VT","State's Attorney",,
"VT","State Senate","Addison","upper"
"VT","State Senate","Bennington","upper"
"VT","State Senate","Caledonia","upper"
"VT","State Senate","Chittenden","upper"
"VT","State Senate","Essex-Orleans","upper"
"VT","State Senate","Essex","upper"
"VT","State Senate","Orleans","upper"
"VT","State Senate","Franklin","upper"
"VT","State Senate","Grand Isle","upper"
"VT","State Senate","Lamoille","upper"
"VT","State Senate","Orange","upper"
"VT","State Senate","Rutland","upper"
"VT","State Senate","Washington","upper"
"VT","State Senate","Windham","upper"
"VT","State Senate","Windsor","upper"
"VT","House of Representatives","Addison 1","lower"
"VT","House of Representatives","Addison 2","lower"
"VT","House of Representatives","Addison 3","lower"
"VT","House of Representatives","Addison 4","lower"
"VT","House of Representatives","Addison 4-1","lower"
"VT","House of Representatives","Addison 4-2","lower"
"VT","House of Representatives","Addison 5","lower"
"VT","House of Representatives","Addison-Rutland","lower"
"VT","House of Representatives","Addison-Rutland 1","lower"
"VT","House of Representatives","Addison-Rutland 2","lower"
"VT","House of Representatives","Addison-Washington 1","lower"
"VT","House of Representatives","Bennington 1","lower"
"VT","House of Representatives","Bennington 2-1","lower"
"VT","House of Representatives","Bennington 2-2","lower"
"VT","House of Representatives","Bennington 2-3","lower"
"VT","House of Representatives","Bennington 2-4","lower"
"VT","House of Representatives","Bennington 3","lower"
"VT","House of Representatives","Bennington 4","lower"
"VT","House of Representatives","Bennington 5","lower"
"VT","House of Representatives","Bennington-Rutland","lower"
"VT","House of Representatives","Bennington-Rutland 1","lower"
"VT","House of Representatives","Bennington-Rutland 2","lower"
"VT","House of Representatives","Bennington-Windham 1","lower"
"VT","House of Representatives","Caledonia 1","lower"
"VT","House of Representatives","Caledonia 2","lower"
"VT","House of Representatives","Caledonia 3","lower"
"VT","House of Representatives","Caledonia 3-1","lower"
"VT","House of Representatives","Caledonia 3-2","lower"
"VT","House of Representatives","Caledonia 4","lower"
"VT","House of Representatives","Caledonia-Essex 1","lower"
"VT","House of Representatives","Caledonia-Essex 2","lower"
"VT","House of Representatives","Caledonia-Orange 1","lower"
"VT","House of Representatives","Caledonia-Washington","lower"
"VT","House of Representatives","Caledonia-Washington 1","lower"
"VT","House of Representatives","Chittdenden 7-1","lower"
"VT","House of Representatives","Chittdenden 7-2","lower"
"VT","House of Representatives","Chittdenden 8","lower"
"VT","House of Representatives","Chittenden 1","lower"
"VT","House of Representatives","Chittenden 1-1","lower"
"VT","House of Representatives","Chittenden 1-2","lower"
"VT","House of Representatives","Chittenden 1-3","lower"
"VT","House of Representatives","Chittenden 10","lower"
"VT","House of Representatives","Chittenden 2","lower"
"VT","House of Representatives","Chittenden 2-1","lower"
"VT","House of Representatives","Chittenden 2-2","lower"
"VT","House of Representatives","Chittenden 2-3","lower"
"VT","House of Representatives","Chittenden 2-4","lower"
"VT","House of Representatives","Chittenden 3","lower"
"VT","House of Representatives","Chittenden 3-1","lower"
"VT","House of Representatives","Chittenden 3-10","lower"
"VT","House of Representatives","Chittenden 3-2","lower"
