updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2015-06-20 22:31:46.975000,nv-2002-09-03-primary,2002-09-03 00:00:00,2002-09-03 00:00:00,primary,certified,False,GOVERNOR,,"COOK, SHIRLEY",,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,354,,,,,2002
2015-06-20 22:31:46.975000,nv-2002-09-03-primary,2002-09-03 00:00:00,2002-09-03 00:00:00,primary,certified,False,GOVERNOR,,"GUINN, KENNY C.Incumbent",,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,4708,,,,,2002
2015-06-20 22:31:46.975000,nv-2002-09-03-primary,2002-09-03 00:00:00,2002-09-03 00:00:00,primary,certified,False,GOVERNOR,,"HIETT, BILL",,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,46,,,,,2002
2015-06-20 22:31:46.975000,nv-2002-09-03-primary,2002-09-03 00:00:00,2002-09-03 00:00:00,primary,certified,False,GOVERNOR,,"LUSAK, STANLEIGH HAROLD",,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,24,,,,,2002
2015-06-20 22:31:46.975000,nv-2002-09-03-primary,2002-09-03 00:00:00,2002-09-03 00:00:00,primary,certified,False,GOVERNOR,,"POLIAK,",,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,15,,,,,2002
2015-06-20 22:31:46.975000,nv-2002-09-03-primary,2002-09-03 00:00:00,2002-09-03 00:00:00,primary,certified,False,GOVERNOR,,"PREVOT, JAMES K.",,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,23,,,,,2002
2015-06-20 22:31:46.975000,nv-2002-09-03-primary,2002-09-03 00:00:00,2002-09-03 00:00:00,primary,certified,False,GOVERNOR,,"WESTCOTT, BRUCE",,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,99,,,,,2002
2015-06-20 22:31:46.975000,nv-2002-09-03-primary,2002-09-03 00:00:00,2002-09-03 00:00:00,primary,certified,False,GOVERNOR,,None of these Candidates,,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,437,,,,,2002
2015-06-20 22:31:46.975000,nv-2002-09-03-primary,2002-09-03 00:00:00,2002-09-03 00:00:00,primary,certified,False,GOVERNOR,,Under Votes,,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,0,,,,,2002
2015-06-20 22:31:46.975000,nv-2002-09-03-primary,2002-09-03 00:00:00,2002-09-03 00:00:00,primary,certified,False,GOVERNOR,,Over Votes,,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,0,,,,,2002
2015-06-20 22:31:46.975000,nv-2002-09-03-primary,2002-09-03 00:00:00,2002-09-03 00:00:00,primary,certified,False,GOVERNOR,,"MEYER, DAN",,,,,DEM,Carson City,ocd-division/country:us/state:nv/place:carson_city,319,,,,,2002
