updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,notes
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,State Treasurer,,Andrei Cherny,,,,,DEM,Mohave,ocd-division/country:us/state:az/county:mohave,14108,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,State Treasurer,,Andrei Cherny,,,,,DEM,Maricopa,ocd-division/country:us/state:az/county:maricopa,374064,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,State Treasurer,,Andrei Cherny,,,,,DEM,La Paz,ocd-division/country:us/state:az/county:la_paz,1341,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,State Treasurer,,Andrei Cherny,,,,,DEM,Greenlee,ocd-division/country:us/state:az/county:greenlee,1183,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,State Treasurer,,Andrei Cherny,,,,,DEM,Graham,ocd-division/country:us/state:az/county:graham,2846,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,State Treasurer,,Andrei Cherny,,,,,DEM,Gila,ocd-division/country:us/state:az/county:gila,6072,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,State Treasurer,,Andrei Cherny,,,,,DEM,Coconino,ocd-division/country:us/state:az/county:coconino,19456,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,State Treasurer,,Andrei Cherny,,,,,DEM,Cochise,ocd-division/country:us/state:az/county:cochise,15022,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,State Treasurer,,Andrei Cherny,,,,,DEM,Apache,ocd-division/country:us/state:az/county:apache,13212,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,,ocd-division/country:us/state:az/county:,870483,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,Yuma,ocd-division/country:us/state:az/county:yuma,18698,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,Yavapai,ocd-division/country:us/state:az/county:yavapai,48379,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,Santa Cruz,ocd-division/country:us/state:az/county:santa_cruz,3216,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,Pinal,ocd-division/country:us/state:az/county:pinal,42578,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,Pima,ocd-division/country:us/state:az/county:pima,142417,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,Navajo,ocd-division/country:us/state:az/county:navajo,14186,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,Mohave,ocd-division/country:us/state:az/county:mohave,35387,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,Maricopa,ocd-division/country:us/state:az/county:maricopa,501202,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,La Paz,ocd-division/country:us/state:az/county:la_paz,2760,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,Greenlee,ocd-division/country:us/state:az/county:greenlee,1077,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,Graham,ocd-division/country:us/state:az/county:graham,5518,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,Gila,ocd-division/country:us/state:az/county:gila,9934,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,Coconino,ocd-division/country:us/state:az/county:coconino,15496,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,Cochise,ocd-division/country:us/state:az/county:cochise,22930,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Tom Horne,,,,,REP,Apache,ocd-division/country:us/state:az/county:apache,6705,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Felecia Rotellini,,,,,DEM,,ocd-division/country:us/state:az/county:,807185,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Felecia Rotellini,,,,,DEM,Yuma,ocd-division/country:us/state:az/county:yuma,14295,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Felecia Rotellini,,,,,DEM,Yavapai,ocd-division/country:us/state:az/county:yavapai,30158,,,,,2010,
2015-09-26 18:50:40.485000,az-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Felecia Rotellini,,,,,DEM,Santa Cruz,ocd-division/country:us/state:az/county:santa_cruz,6420,,,,,2010,
