updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,President,,Misc.,,,,,,Coos,ocd-division/country:us/state:or/county:coos,230,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,President,,Misc.,,,,,,Lake,ocd-division/country:us/state:or/county:lake,18,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,President,,Misc.,,,,,,Lane,ocd-division/country:us/state:or/county:lane,1252,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,President,,Misc.,,,,,,Linn,ocd-division/country:us/state:or/county:linn,238,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,President,,Misc.,,,,,,Polk,ocd-division/country:us/state:or/county:polk,169,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,60,Misc.,,,,,,Malheur,ocd-division/country:us/state:or/county:malheur,159,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,60,Misc.,,,,,,Harney,ocd-division/country:us/state:or/county:harney,51,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,60,Misc.,,,,,,Grant,ocd-division/country:us/state:or/county:grant,1,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,60,Misc.,,,,,,Baker,ocd-division/country:us/state:or/county:baker,138,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,60,R. Thomas (Tom) Butler,,,,,R,Malheur,ocd-division/country:us/state:or/county:malheur,8856,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,60,R. Thomas (Tom) Butler,,,,,R,Harney,ocd-division/country:us/state:or/county:harney,2917,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,60,R. Thomas (Tom) Butler,,,,,R,Grant,ocd-division/country:us/state:or/county:grant,325,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,60,R. Thomas (Tom) Butler,,,,,R,Baker,ocd-division/country:us/state:or/county:baker,6922,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,59,Misc.,,,,,,Wheeler,ocd-division/country:us/state:or/county:wheeler,4,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,59,Misc.,,,,,,Wasco,ocd-division/country:us/state:or/county:wasco,36,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,59,Misc.,,,,,,Sherman,ocd-division/country:us/state:or/county:sherman,1,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,59,Misc.,,,,,,Marion,ocd-division/country:us/state:or/county:marion,0,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,59,Misc.,,,,,,Jefferson,ocd-division/country:us/state:or/county:jefferson,16,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,59,Misc.,,,,,,Grant,ocd-division/country:us/state:or/county:grant,13,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,59,Misc.,,,,,,Gilliam,ocd-division/country:us/state:or/county:gilliam,1,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,59,Misc.,,,,,,Deschutes,ocd-division/country:us/state:or/county:deschutes,1,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,59,Misc.,,,,,,Clackamas,ocd-division/country:us/state:or/county:clackamas,0,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,59,Jack E. Lorts,,,,,D,Wheeler,ocd-division/country:us/state:or/county:wheeler,417,,,,,2004
2015-07-28 10:40:49.177000,or-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,State House,59,Jack E. Lorts,,,,,D,Wasco,ocd-division/country:us/state:or/county:wasco,5032,,,,,2004
