updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,notes
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,18,Janie Hydrick,,,,,DEM,,ocd-division/country:us/state:az/county:,45115,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,18,John McComish,,,,,REP,,ocd-division/country:us/state:az/county:,51084,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,19,Anna Tovar,,,,,DEM,Maricopa,ocd-division/country:us/state:az/county:maricopa,31473,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,19,Anna Tovar,,,,,DEM,,ocd-division/country:us/state:az/county:,31473,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,20,Michael Powell,,,,,DEM,Maricopa,ocd-division/country:us/state:az/county:maricopa,26987,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,20,Doug 'Q' Quelland,,,,,IND,Maricopa,ocd-division/country:us/state:az/county:maricopa,8829,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,20,Kimberly Yee,,,,,REP,Maricopa,ocd-division/country:us/state:az/county:maricopa,37371,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,20,Michael Powell,,,,,DEM,,ocd-division/country:us/state:az/county:,26987,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,20,Doug 'Q' Quelland,,,,,IND,,ocd-division/country:us/state:az/county:,8829,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,20,Kimberly Yee,,,,,REP,,ocd-division/country:us/state:az/county:,37371,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,21,Michael Tarrats,,,,,DEM,Maricopa,ocd-division/country:us/state:az/county:maricopa,30087,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,21,Rick Murphy,,,,,REP,Maricopa,ocd-division/country:us/state:az/county:maricopa,44369,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,21,Michael Tarrats,,,,,DEM,,ocd-division/country:us/state:az/county:,30087,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,21,Rick Murphy,,,,,REP,,ocd-division/country:us/state:az/county:,44369,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,22,Judy M. Burges,,,,,REP,Maricopa,ocd-division/country:us/state:az/county:maricopa,72211,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,22,Judy M. Burges,,,,,REP,,ocd-division/country:us/state:az/county:,72211,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,23,Michele Reagan,,,,,REP,Maricopa,ocd-division/country:us/state:az/county:maricopa,82278,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,23,Michele Reagan,,,,,REP,,ocd-division/country:us/state:az/county:,82278,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,24,Katie Hobbs,,,,,DEM,Maricopa,ocd-division/country:us/state:az/county:maricopa,38142,,,,,2012,
2015-09-26 18:50:45.895000,az-2012-11-06-general,2012-11-06 00:00:00,2012-11-06 00:00:00,general,certified,False,State Senate,24,"Augustine ""Auggie"" Bartning",,,,,REP,Maricopa,ocd-division/country:us/state:az/county:maricopa,19326,,,,,2012,
