updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,notes
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,Secretary of State,,Israel Torres,,,,,DEM,Coconino,ocd-division/country:us/state:az/county:coconino,6561,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,Secretary of State,,Israel Torres,,,,,DEM,Cochise,ocd-division/country:us/state:az/county:cochise,8302,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,Secretary of State,,Israel Torres,,,,,DEM,Apache,ocd-division/country:us/state:az/county:apache,3787,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Jonathan Paton,,,,,REP,,ocd-division/country:us/state:az/county:,11496,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Jonathan Paton,,,,,REP,Santa Cruz,ocd-division/country:us/state:az/county:santa_cruz,257,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Jonathan Paton,,,,,REP,Pima,ocd-division/country:us/state:az/county:pima,9693,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Jonathan Paton,,,,,REP,Cochise,ocd-division/country:us/state:az/county:cochise,1546,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Marian Ann McClure,,,,,REP,,ocd-division/country:us/state:az/county:,9991,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Marian Ann McClure,,,,,REP,Santa Cruz,ocd-division/country:us/state:az/county:santa_cruz,283,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Marian Ann McClure,,,,,REP,Pima,ocd-division/country:us/state:az/county:pima,8319,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Marian Ann McClure,,,,,REP,Cochise,ocd-division/country:us/state:az/county:cochise,1389,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,David Gowan,,,,,REP,,ocd-division/country:us/state:az/county:,7017,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,David Gowan,,,,,REP,Santa Cruz,ocd-division/country:us/state:az/county:santa_cruz,126,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,David Gowan,,,,,REP,Pima,ocd-division/country:us/state:az/county:pima,5284,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,David Gowan,,,,,REP,Cochise,ocd-division/country:us/state:az/county:cochise,1607,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Frank Callegari,,,,,REP,,ocd-division/country:us/state:az/county:,6031,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Frank Callegari,,,,,REP,Santa Cruz,ocd-division/country:us/state:az/county:santa_cruz,149,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Frank Callegari,,,,,REP,Pima,ocd-division/country:us/state:az/county:pima,4585,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Frank Callegari,,,,,REP,Cochise,ocd-division/country:us/state:az/county:cochise,1297,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Clarence Boykins,,,,,DEM,,ocd-division/country:us/state:az/county:,13934,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Clarence Boykins,,,,,DEM,Santa Cruz,ocd-division/country:us/state:az/county:santa_cruz,547,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Clarence Boykins,,,,,DEM,Pima,ocd-division/country:us/state:az/county:pima,11448,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,30,Clarence Boykins,,,,,DEM,Cochise,ocd-division/country:us/state:az/county:cochise,1939,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,29,Bruce P. Murchison,,,,,REP,,ocd-division/country:us/state:az/county:,4130,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,29,Bruce P. Murchison,,,,,REP,Pima,ocd-division/country:us/state:az/county:pima,4130,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,29,Patricia Anne Puig,,,,,DEM,,ocd-division/country:us/state:az/county:,1760,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,29,Patricia Anne Puig,,,,,DEM,Pima,ocd-division/country:us/state:az/county:pima,1760,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,29,Tom Prezelski,,,,,DEM,,ocd-division/country:us/state:az/county:,3076,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,29,Tom Prezelski,,,,,DEM,Pima,ocd-division/country:us/state:az/county:pima,3076,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,29,Linda Lopez,,,,,DEM,,ocd-division/country:us/state:az/county:,5244,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,29,Linda Lopez,,,,,DEM,Pima,ocd-division/country:us/state:az/county:pima,5244,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,29,Betty Liggins,,,,,DEM,,ocd-division/country:us/state:az/county:,2612,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,29,Betty Liggins,,,,,DEM,Pima,ocd-division/country:us/state:az/county:pima,2612,,,,,2006,
2015-09-26 18:50:32.252000,az-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,State House,28,Bill Phillips,,,,,REP,,ocd-division/country:us/state:az/county:,7686,,,,,2006,
