updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,notes
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,26,Trent Humphries,,,,,REP,,ocd-division/country:us/state:az/county:,9355,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,26,Trent Humphries,,,,,REP,Pinal,ocd-division/country:us/state:az/county:pinal,838,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,26,Trent Humphries,,,,,REP,Pima,ocd-division/country:us/state:az/county:pima,8517,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,26,Nancy Young Wright,,,,,DEM,,ocd-division/country:us/state:az/county:,10621,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,26,Nancy Young Wright,,,,,DEM,Pinal,ocd-division/country:us/state:az/county:pinal,667,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,26,Nancy Young Wright,,,,,DEM,Pima,ocd-division/country:us/state:az/county:pima,9954,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,26,Donald Jorgensen,,,,,DEM,,ocd-division/country:us/state:az/county:,8981,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,26,Donald Jorgensen,,,,,DEM,Pinal,ocd-division/country:us/state:az/county:pinal,546,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,26,Donald Jorgensen,,,,,DEM,Pima,ocd-division/country:us/state:az/county:pima,8435,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,25,David Stevens,,,,,REP,,ocd-division/country:us/state:az/county:,7010,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,25,David Stevens,,,,,REP,Santa Cruz,ocd-division/country:us/state:az/county:santa_cruz,485,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,25,David Stevens,,,,,REP,Pinal,ocd-division/country:us/state:az/county:pinal,201,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,25,David Stevens,,,,,REP,Pima,ocd-division/country:us/state:az/county:pima,2038,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,25,David Stevens,,,,,REP,Maricopa,ocd-division/country:us/state:az/county:maricopa,227,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,25,David Stevens,,,,,REP,Cochise,ocd-division/country:us/state:az/county:cochise,4059,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,25,Timathy Davies,,,,,REP,,ocd-division/country:us/state:az/county:,5090,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,25,Timathy Davies,,,,,REP,Santa Cruz,ocd-division/country:us/state:az/county:santa_cruz,277,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,25,Timathy Davies,,,,,REP,Pinal,ocd-division/country:us/state:az/county:pinal,117,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,25,Timathy Davies,,,,,REP,Pima,ocd-division/country:us/state:az/county:pima,1563,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,25,Timathy Davies,,,,,REP,Maricopa,ocd-division/country:us/state:az/county:maricopa,161,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,25,Timathy Davies,,,,,REP,Cochise,ocd-division/country:us/state:az/county:cochise,2972,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,25,"Patricia ""Pat"" Fleming",,,,,DEM,,ocd-division/country:us/state:az/county:,9153,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,25,"Patricia ""Pat"" Fleming",,,,,DEM,Santa Cruz,ocd-division/country:us/state:az/county:santa_cruz,2082,,,,,2008,
2015-09-26 18:50:35.699000,az-2008-09-02-primary,2008-09-02 00:00:00,2008-09-02 00:00:00,primary,certified,False,State House,25,"Patricia ""Pat"" Fleming",,,,,DEM,Pinal,ocd-division/country:us/state:az/county:pinal,156,,,,,2008,
