updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2015-06-20 22:32:58.883000,nv-2006-08-15-primary,2006-08-15 00:00:00,2006-08-15 00:00:00,primary,certified,False,U.S. Representative in Congress,District 2,"ANGLE, SHARRON E.",,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,1837,,,,,2006
2015-06-20 22:32:58.883000,nv-2006-08-15-primary,2006-08-15 00:00:00,2006-08-15 00:00:00,primary,certified,False,U.S. Representative in Congress,District 2,"GIBBONS, DAWN",,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,818,,,,,2006
2015-06-20 22:32:58.883000,nv-2006-08-15-primary,2006-08-15 00:00:00,2006-08-15 00:00:00,primary,certified,False,U.S. Representative in Congress,District 2,"GILSTER, RICHARD",,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,38,,,,,2006
2015-06-20 22:32:58.883000,nv-2006-08-15-primary,2006-08-15 00:00:00,2006-08-15 00:00:00,primary,certified,False,U.S. Representative in Congress,District 2,"HELLER, DEAN",,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,2863,,,,,2006
2015-06-20 22:32:58.883000,nv-2006-08-15-primary,2006-08-15 00:00:00,2006-08-15 00:00:00,primary,certified,False,U.S. Representative in Congress,District 2,"THOMAS, GLENN",,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,84,,,,,2006
2015-06-20 22:32:58.883000,nv-2006-08-15-primary,2006-08-15 00:00:00,2006-08-15 00:00:00,primary,certified,False,State Assembly,District 40,"WAGNER, JOHN",,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,1963,,,,,2006
2015-06-20 22:32:58.883000,nv-2006-08-15-primary,2006-08-15 00:00:00,2006-08-15 00:00:00,primary,certified,False,State Assembly,District 40,"WARD, SHEILA M.",,,,,REP,Carson City,ocd-division/country:us/state:nv/place:carson_city,2293,,,,,2006
2015-06-20 22:32:58.943000,nv-2006-08-15-primary,2006-08-15 00:00:00,2006-08-15 00:00:00,primary,certified,False,U.S. Representative in Congress,District 2,"ANGLE, SHARRON E.",,,,,REP,Churchill,ocd-division/country:us/state:nv/county:churchill,943,,,,,2006
2015-06-20 22:32:58.943000,nv-2006-08-15-primary,2006-08-15 00:00:00,2006-08-15 00:00:00,primary,certified,False,U.S. Representative in Congress,District 2,"GIBBONS, DAWN",,,,,REP,Churchill,ocd-division/country:us/state:nv/county:churchill,936,,,,,2006
2015-06-20 22:32:58.943000,nv-2006-08-15-primary,2006-08-15 00:00:00,2006-08-15 00:00:00,primary,certified,False,U.S. Representative in Congress,District 2,"GILSTER, RICHARD",,,,,REP,Churchill,ocd-division/country:us/state:nv/county:churchill,42,,,,,2006
2015-06-20 22:32:58.943000,nv-2006-08-15-primary,2006-08-15 00:00:00,2006-08-15 00:00:00,primary,certified,False,U.S. Representative in Congress,District 2,"HELLER, DEAN",,,,,REP,Churchill,ocd-division/country:us/state:nv/county:churchill,1205,,,,,2006
2015-06-20 22:32:58.943000,nv-2006-08-15-primary,2006-08-15 00:00:00,2006-08-15 00:00:00,primary,certified,False,U.S. Representative in Congress,District 2,"THOMAS, GLENN",,,,,REP,Churchill,ocd-division/country:us/state:nv/county:churchill,73,,,,,2006
