"contest","count"
"governor",6
"comptroller",5
"attorney-general",3
"us-house-of-representatives-1",3
"us-house-of-representatives-2",3
"us-house-of-representatives-3",3
"us-house-of-representatives-4",5
"us-house-of-representatives-5",4
"us-house-of-representatives-6",3
"us-house-of-representatives-7",3
"us-house-of-representatives-8",4
"state-senate-1",2
"state-senate-2",3
"state-senate-3",3
"state-senate-4",3
"state-senate-5",3
"state-senate-6",2
"state-senate-7",3
"state-senate-8",3
"state-senate-9",2
"state-senate-10",3
"state-senate-11",3
"state-senate-12",3
"state-senate-13",3
"state-senate-14",3
"state-senate-15",3
"state-senate-16",3
"state-senate-17",3
"state-senate-18",3
"state-senate-19",3
"state-senate-20",3
"state-senate-21",2
"state-senate-22",2
"state-senate-23",3
"state-senate-24",2
"state-senate-25",2
"state-senate-26",2
"state-senate-27",3
"state-senate-28",3
"state-senate-29",3
"state-senate-30",3
"state-senate-31",3
"state-senate-32",3
"state-senate-33",3
"state-senate-34",3
"state-senate-35",2
"state-senate-36",3
"state-senate-37",3
"state-senate-38",3
"state-senate-39",3
"state-senate-40",2
"state-senate-41",2
"state-senate-42",3
"state-senate-43",2
"state-senate-44",2
"state-senate-45",3
"state-senate-46",2
"state-senate-47",2
"house-of-delegates-1a",2
"house-of-delegates-1b",3
"house-of-delegates-1c",3
"house-of-delegates-2a",3
"house-of-delegates-2b",3
"house-of-delegates-2c",3
"house-of-delegates-3a",6
"house-of-delegates-3b",3
"house-of-delegates-4a",6
"house-of-delegates-4b",3
"house-of-delegates-5a",5
"house-of-delegates-5b",4
"house-of-delegates-6",7
"house-of-delegates-7",8
"house-of-delegates-8",7
"house-of-delegates-9a",5
"house-of-delegates-9b",3
"house-of-delegates-10",5
"house-of-delegates-11",7
"house-of-delegates-12a",5
"house-of-delegates-12b",2
"house-of-delegates-13",7
"house-of-delegates-14",7
"house-of-delegates-15",7
"house-of-delegates-16",7
"house-of-delegates-17",6
"house-of-delegates-18",4
"house-of-delegates-19",4
"house-of-delegates-20",7
"house-of-delegates-21",6
"house-of-delegates-22",5
"house-of-delegates-23a",5
"house-of-delegates-23b",2
"house-of-delegates-24",5
"house-of-delegates-25",4
"house-of-delegates-26",7
"house-of-delegates-27a",5
"house-of-delegates-27b",2
"house-of-delegates-28",7
"house-of-delegates-29a",2
"house-of-delegates-29b",3
"house-of-delegates-29c",3
"house-of-delegates-30",8
"house-of-delegates-31",7
"house-of-delegates-32",7
"house-of-delegates-33a",6
"house-of-delegates-33b",3
"house-of-delegates-34a",4
"house-of-delegates-34b",3
"house-of-delegates-35a",3
"house-of-delegates-35b",3
"house-of-delegates-36",6
"house-of-delegates-37a",3
"house-of-delegates-37b",3
"house-of-delegates-38a",3
"house-of-delegates-38b",5
"house-of-delegates-39",8
"house-of-delegates-40",4
"house-of-delegates-41",4
"house-of-delegates-42",8
"house-of-delegates-43",6
"house-of-delegates-44",7
"house-of-delegates-45",5
"house-of-delegates-46",5
"house-of-delegates-47",4
