"contest","count"
"governor-d",3
"governor-r",2
"comptroller-d",1
"comptroller-r",3
"attorney-general-d",1
"attorney-general-r",0
"us-senate-d",7
"us-senate-r",11
"us-house-of-representatives-1-d",1
"us-house-of-representatives-1-r",2
"us-house-of-representatives-2-d",4
"us-house-of-representatives-2-r",5
"us-house-of-representatives-3-d",5
"us-house-of-representatives-3-r",4
"us-house-of-representatives-4-d",4
"us-house-of-representatives-4-r",1
"us-house-of-representatives-5-d",3
"us-house-of-representatives-5-r",4
"us-house-of-representatives-6-d",2
"us-house-of-representatives-6-r",5
"us-house-of-representatives-7-d",2
"us-house-of-representatives-7-r",3
"us-house-of-representatives-8-d",2
"us-house-of-representatives-8-r",4
"state-senate-1-d",0
"state-senate-1-r",1
"state-senate-2-d",0
"state-senate-2-r",2
"state-senate-3-d",2
"state-senate-3-r",1
"state-senate-4-d",1
"state-senate-4-r",2
"state-senate-5-d",1
"state-senate-5-r",2
"state-senate-6-d",2
"state-senate-6-r",1
"state-senate-7-d",2
"state-senate-7-r",2
"state-senate-8-d",1
"state-senate-8-r",2
"state-senate-9-d",1
"state-senate-9-r",1
"state-senate-10-d",3
"state-senate-10-r",0
"state-senate-11-d",1
"state-senate-11-r",0
"state-senate-12-d",1
"state-senate-12-r",1
"state-senate-13-d",1
"state-senate-13-r",2
"state-senate-14-d",2
"state-senate-14-r",1
"state-senate-15-d",1
"state-senate-15-r",1
"state-senate-16-d",1
"state-senate-16-r",1
"state-senate-17-d",2
"state-senate-17-r",1
"state-senate-18-d",2
"state-senate-18-r",1
"state-senate-19-d",2
"state-senate-19-r",1
"state-senate-20-d",1
"state-senate-20-r",0
"state-senate-21-d",1
"state-senate-21-r",0
"state-senate-22-d",1
"state-senate-22-r",0
"state-senate-23-d",4
"state-senate-23-r",0
"state-senate-24-d",2
"state-senate-24-r",0
"state-senate-25-d",1
"state-senate-25-r",0
"state-senate-26-d",2
"state-senate-26-r",0
"state-senate-27-d",1
"state-senate-27-r",1
"state-senate-28-d",1
"state-senate-28-r",1
"state-senate-29-d",1
"state-senate-29-r",1
"state-senate-30-d",1
"state-senate-30-r",1
"state-senate-31-d",2
"state-senate-31-r",2
"state-senate-32-d",1
"state-senate-32-r",1
"state-senate-33-d",0
"state-senate-33-r",3
"state-senate-34-d",2
"state-senate-34-r",1
"state-senate-35-d",0
"state-senate-35-r",1
"state-senate-36-d",2
"state-senate-36-r",2
"state-senate-37-d",3
"state-senate-37-r",2
"state-senate-38-d",2
"state-senate-38-r",1
"state-senate-39-d",2
"state-senate-39-r",1
"state-senate-40-d",1
"state-senate-40-r",0
"state-senate-41-d",1
"state-senate-41-r",0
"state-senate-42-d",1
"state-senate-42-r",2
"state-senate-43-d",2
"state-senate-43-r",0
"state-senate-44-d",1
"state-senate-44-r",1
"state-senate-45-d",1
"state-senate-45-r",0
"state-senate-46-d",2
"state-senate-46-r",0
"state-senate-47-d",2
"state-senate-47-r",0
"house-of-delegates-1a-d",1
"house-of-delegates-1a-r",1
"house-of-delegates-1b-d",2
"house-of-delegates-1b-r",1
"house-of-delegates-1c-d",1
"house-of-delegates-1c-r",1
"house-of-delegates-2a-d",1
"house-of-delegates-2a-r",3
"house-of-delegates-2b-d",1
"house-of-delegates-2b-r",2
"house-of-delegates-2c-d",1
"house-of-delegates-2c-r",1
"house-of-delegates-3a-d",2
"house-of-delegates-3a-r",4
"house-of-delegates-3b-d",1
"house-of-delegates-3b-r",2
"house-of-delegates-4a-d",2
"house-of-delegates-4a-r",5
"house-of-delegates-4b-d",1
"house-of-delegates-4b-r",3
"house-of-delegates-5a-d",2
"house-of-delegates-5a-r",4
"house-of-delegates-5b-d",1
"house-of-delegates-5b-r",3
"house-of-delegates-6-d",8
"house-of-delegates-6-r",3
"house-of-delegates-7-d",4
"house-of-delegates-7-r",9
"house-of-delegates-8-d",3
"house-of-delegates-8-r",4
"house-of-delegates-9a-d",2
"house-of-delegates-9a-r",2
"house-of-delegates-9b-d",1
"house-of-delegates-9b-r",2
"house-of-delegates-10-d",5
"house-of-delegates-10-r",1
"house-of-delegates-11-d",4
"house-of-delegates-11-r",6
"house-of-delegates-12a-d",2
"house-of-delegates-12a-r",4
"house-of-delegates-12b-d",2
"house-of-delegates-12b-r",1
"house-of-delegates-13-d",3
"house-of-delegates-13-r",4
"house-of-delegates-14-d",8
"house-of-delegates-14-r",3
"house-of-delegates-15-d",5
"house-of-delegates-15-r",3
"house-of-delegates-16-d",13
"house-of-delegates-16-r",3
"house-of-delegates-17-d",3
"house-of-delegates-17-r",3
"house-of-delegates-18-d",6
"house-of-delegates-18-r",0
"house-of-delegates-19-d",6
"house-of-delegates-19-r",2
"house-of-delegates-20-d",6
"house-of-delegates-20-r",0
"house-of-delegates-21-d",5
"house-of-delegates-21-r",3
"house-of-delegates-22-d",3
"house-of-delegates-22-r",0
"house-of-delegates-23a-d",7
"house-of-delegates-23a-r",1
"house-of-delegates-23b-d",2
"house-of-delegates-23b-r",0
"house-of-delegates-24-d",10
"house-of-delegates-24-r",0
"house-of-delegates-25-d",7
"house-of-delegates-25-r",0
"house-of-delegates-26-d",7
"house-of-delegates-26-r",1
"house-of-delegates-27a-d",10
"house-of-delegates-27a-r",2
"house-of-delegates-27b-d",1
"house-of-delegates-27b-r",3
"house-of-delegates-28-d",7
"house-of-delegates-28-r",3
"house-of-delegates-29a-d",1
"house-of-delegates-29a-r",3
"house-of-delegates-29b-d",1
"house-of-delegates-29b-r",1
"house-of-delegates-29c-d",1
"house-of-delegates-29c-r",1
"house-of-delegates-30-d",4
"house-of-delegates-30-r",3
"house-of-delegates-31-d",4
"house-of-delegates-31-r",4
"house-of-delegates-32-d",3
"house-of-delegates-32-r",5
"house-of-delegates-33a-d",1
"house-of-delegates-33a-r",5
"house-of-delegates-33b-d",0
"house-of-delegates-33b-r",2
"house-of-delegates-34a-d",3
"house-of-delegates-34a-r",4
"house-of-delegates-34b-d",2
"house-of-delegates-34b-r",1
"house-of-delegates-35a-d",2
"house-of-delegates-35a-r",5
"house-of-delegates-35b-d",1
"house-of-delegates-35b-r",1
"house-of-delegates-36-d",2
"house-of-delegates-36-r",4
"house-of-delegates-37a-d",2
"house-of-delegates-37a-r",1
"house-of-delegates-37b-d",1
"house-of-delegates-37b-r",2
"house-of-delegates-38a-d",1
"house-of-delegates-38a-r",4
"house-of-delegates-38b-d",3
"house-of-delegates-38b-r",4
"house-of-delegates-39-d",6
"house-of-delegates-39-r",3
"house-of-delegates-40-d",4
"house-of-delegates-40-r",0
"house-of-delegates-41-d",3
"house-of-delegates-41-r",1
"house-of-delegates-42-d",5
"house-of-delegates-42-r",5
"house-of-delegates-43-d",6
"house-of-delegates-43-r",0
"house-of-delegates-44-d",8
"house-of-delegates-44-r",2
"house-of-delegates-45-d",5
"house-of-delegates-45-r",2
"house-of-delegates-46-d",6
"house-of-delegates-46-r",1
"house-of-delegates-47-d",8
"house-of-delegates-47-r",1
