"contest","count"
"governor",8
"comptroller",3
"attorney-general",2
"us-senate",12
"us-house-of-representatives-1",6
"us-house-of-representatives-2",4
"us-house-of-representatives-3",5
"us-house-of-representatives-4",3
"us-house-of-representatives-5",4
"us-house-of-representatives-6",5
"us-house-of-representatives-7",6
"us-house-of-representatives-8",5
"state-senate-1",2
"state-senate-2",3
"state-senate-3",3
"state-senate-4",3
"state-senate-5",3
"state-senate-6",3
"state-senate-7",4
"state-senate-8",3
"state-senate-9",3
"state-senate-10",3
"state-senate-11",2
"state-senate-12",3
"state-senate-13",3
"state-senate-14",3
"state-senate-15",3
"state-senate-16",3
"state-senate-17",3
"state-senate-18",3
"state-senate-19",3
"state-senate-20",2
"state-senate-21",2
"state-senate-22",2
"state-senate-23",2
"state-senate-24",2
"state-senate-25",3
"state-senate-26",2
"state-senate-27",3
"state-senate-28",3
"state-senate-29",3
"state-senate-30",3
"state-senate-31",3
"state-senate-32",3
"state-senate-33",2
"state-senate-34",3
"state-senate-35",2
"state-senate-36",3
"state-senate-37",3
"state-senate-38",4
"state-senate-39",3
"state-senate-40",2
"state-senate-41",2
"state-senate-42",3
"state-senate-43",2
"state-senate-44",3
"state-senate-45",2
"state-senate-46",2
"state-senate-47",2
"house-of-delegates-1a",3
"house-of-delegates-1b",3
"house-of-delegates-1c",3
"house-of-delegates-2a",3
"house-of-delegates-2b",3
"house-of-delegates-2c",3
"house-of-delegates-3a",5
"house-of-delegates-3b",3
"house-of-delegates-4a",6
"house-of-delegates-4b",3
"house-of-delegates-5a",5
"house-of-delegates-5b",4
"house-of-delegates-6",7
"house-of-delegates-7",7
"house-of-delegates-8",7
"house-of-delegates-9a",5
"house-of-delegates-9b",3
"house-of-delegates-10",8
"house-of-delegates-11",8
"house-of-delegates-12a",5
"house-of-delegates-12b",3
"house-of-delegates-13",7
"house-of-delegates-14",7
"house-of-delegates-15",8
"house-of-delegates-16",7
"house-of-delegates-17",7
"house-of-delegates-18",4
"house-of-delegates-19",6
"house-of-delegates-20",4
"house-of-delegates-21",8
"house-of-delegates-22",4
"house-of-delegates-23a",4
"house-of-delegates-23b",2
"house-of-delegates-24",4
"house-of-delegates-25",4
"house-of-delegates-26",5
"house-of-delegates-27a",5
"house-of-delegates-27b",3
"house-of-delegates-28",7
"house-of-delegates-29a",3
"house-of-delegates-29b",3
"house-of-delegates-29c",4
"house-of-delegates-30",7
"house-of-delegates-31",9
"house-of-delegates-32",7
"house-of-delegates-33a",4
"house-of-delegates-33b",2
"house-of-delegates-34a",5
"house-of-delegates-34b",4
"house-of-delegates-35a",5
"house-of-delegates-35b",3
"house-of-delegates-36",6
"house-of-delegates-37a",3
"house-of-delegates-37b",4
"house-of-delegates-38a",3
"house-of-delegates-38b",5
"house-of-delegates-39",7
"house-of-delegates-40",4
"house-of-delegates-41",5
"house-of-delegates-42",7
"house-of-delegates-43",4
"house-of-delegates-44",6
"house-of-delegates-45",7
"house-of-delegates-46",5
"house-of-delegates-47",6
