"contest","count"
"governor",8
"comptroller",4
"attorney-general",3
"us-senate",5
"us-house-of-representatives-1",3
"us-house-of-representatives-2",3
"us-house-of-representatives-3",4
"us-house-of-representatives-4",3
"us-house-of-representatives-5",4
"us-house-of-representatives-6",4
"us-house-of-representatives-7",2
"us-house-of-representatives-8",4
"state-senate-1",3
"state-senate-2",2
"state-senate-3",3
"state-senate-4",2
"state-senate-5",2
"state-senate-6",3
"state-senate-7",3
"state-senate-8",3
"state-senate-9",3
"state-senate-10",2
"state-senate-11",3
"state-senate-12",3
"state-senate-13",3
"state-senate-14",3
"state-senate-15",3
"state-senate-16",3
"state-senate-17",2
"state-senate-18",3
"state-senate-19",3
"state-senate-20",2
"state-senate-21",3
"state-senate-22",2
"state-senate-23",2
"state-senate-24",2
"state-senate-25",2
"state-senate-26",2
"state-senate-27",3
"state-senate-28",3
"state-senate-29",3
"state-senate-30",3
"state-senate-31",3
"state-senate-32",3
"state-senate-33",3
"state-senate-34",3
"state-senate-35",3
"state-senate-36",3
"state-senate-37",4
"state-senate-38",2
"state-senate-39",2
"state-senate-40",3
"state-senate-41",2
"state-senate-42",3
"state-senate-43",3
"state-senate-44",3
"state-senate-45",3
"state-senate-46",3
"state-senate-47",2
"house-of-delegates-1a",3
"house-of-delegates-1b",3
"house-of-delegates-1c",3
"house-of-delegates-2a",2
"house-of-delegates-2b",2
"house-of-delegates-2c",3
"house-of-delegates-3a",5
"house-of-delegates-3b",3
"house-of-delegates-4a",4
"house-of-delegates-4b",3
"house-of-delegates-5a",5
"house-of-delegates-5b",2
"house-of-delegates-6",7
"house-of-delegates-7",8
"house-of-delegates-8",7
"house-of-delegates-9a",4
"house-of-delegates-9b",3
"house-of-delegates-10",4
"house-of-delegates-11",7
"house-of-delegates-12a",5
"house-of-delegates-12b",3
"house-of-delegates-13",7
"house-of-delegates-14",7
"house-of-delegates-15",7
"house-of-delegates-16",7
"house-of-delegates-17",7
"house-of-delegates-18",7
"house-of-delegates-19",7
"house-of-delegates-20",5
"house-of-delegates-21",5
"house-of-delegates-22",4
"house-of-delegates-23a",4
"house-of-delegates-23b",2
"house-of-delegates-24",4
"house-of-delegates-25",6
"house-of-delegates-26",5
"house-of-delegates-27a",5
"house-of-delegates-27b",3
"house-of-delegates-28",6
"house-of-delegates-29a",3
"house-of-delegates-29b",3
"house-of-delegates-29c",3
"house-of-delegates-30",8
"house-of-delegates-31",7
"house-of-delegates-32",7
"house-of-delegates-33a",5
"house-of-delegates-33b",3
"house-of-delegates-34a",5
"house-of-delegates-34b",3
"house-of-delegates-35a",4
"house-of-delegates-35b",3
"house-of-delegates-36",8
"house-of-delegates-37a",2
"house-of-delegates-37b",5
"house-of-delegates-38a",3
"house-of-delegates-38b",5
"house-of-delegates-39",7
"house-of-delegates-40",5
"house-of-delegates-41",5
"house-of-delegates-42",7
"house-of-delegates-43",8
"house-of-delegates-44",4
"house-of-delegates-45",5
"house-of-delegates-46",5
"house-of-delegates-47",4
