county,fips,ocd_id
Adams,1,ocd-division/country:us/state:in/county:adams
Allen,3,ocd-division/country:us/state:in/county:allen
Bartholomew,5,ocd-division/country:us/state:in/county:bartholomew
Benton,7,ocd-division/country:us/state:in/county:benton
Blackford,9,ocd-division/country:us/state:in/county:blackford
Boone,11,ocd-division/country:us/state:in/county:boone
Brown,13,ocd-division/country:us/state:in/county:brown
Carroll,15,ocd-division/country:us/state:in/county:carroll
Cass,17,ocd-division/country:us/state:in/county:cass
Clark,19,ocd-division/country:us/state:in/county:clark
Clay,21,ocd-division/country:us/state:in/county:clay
Clinton,23,ocd-division/country:us/state:in/county:clinton
Crawford,25,ocd-division/country:us/state:in/county:crawford
Daviess,27,ocd-division/country:us/state:in/county:daviess
Dearborn,29,ocd-division/country:us/state:in/county:dearborn
Decatur,31,ocd-division/country:us/state:in/county:decatur
DeKalb,33,ocd-division/country:us/state:in/county:dekalb
Delaware,35,ocd-division/country:us/state:in/county:delaware
Dubois,37,ocd-division/country:us/state:in/county:dubois
Elkhart,39,ocd-division/country:us/state:in/county:elkhart
Fayette,41,ocd-division/country:us/state:in/county:fayette
Floyd,43,ocd-division/country:us/state:in/county:floyd
Fountain,45,ocd-division/country:us/state:in/county:fountain
Franklin,47,ocd-division/country:us/state:in/county:franklin
Fulton,49,ocd-division/country:us/state:in/county:fulton
Gibson,51,ocd-division/country:us/state:in/county:gibson
Grant,53,ocd-division/country:us/state:in/county:grant
Greene,55,ocd-division/country:us/state:in/county:greene
Hamilton,57,ocd-division/country:us/state:in/county:hamilton
Hancock,59,ocd-division/country:us/state:in/county:hancock
Harrison,61,ocd-division/country:us/state:in/county:harrison
Hendricks,63,ocd-division/country:us/state:in/county:hendricks
Henry,65,ocd-division/country:us/state:in/county:henry
Howard,67,ocd-division/country:us/state:in/county:howard
Huntington,69,ocd-division/country:us/state:in/county:huntington
Jackson,71,ocd-division/country:us/state:in/county:jackson
Jasper,73,ocd-division/country:us/state:in/county:jasper
Jay,75,ocd-division/country:us/state:in/county:jay
Jefferson,77,ocd-division/country:us/state:in/county:jefferson
Jennings,79,ocd-division/country:us/state:in/county:jennings
Johnson,81,ocd-division/country:us/state:in/county:johnson
Knox,83,ocd-division/country:us/state:in/county:knox
Kosciusko,85,ocd-division/country:us/state:in/county:kosciusko
LaGrange,87,ocd-division/country:us/state:in/county:lagrange
Lake,89,ocd-division/country:us/state:in/county:lake
LaPorte,91,ocd-division/country:us/state:in/county:laporte
Lawrence,93,ocd-division/country:us/state:in/county:lawrence
Madison,95,ocd-division/country:us/state:in/county:madison
Marion,97,ocd-division/country:us/state:in/county:marion
Marshall,99,ocd-division/country:us/state:in/county:marshall
Martin,101,ocd-division/country:us/state:in/county:martin
Miami,103,ocd-division/country:us/state:in/county:miami
Monroe,105,ocd-division/country:us/state:in/county:monroe
Montgomery,107,ocd-division/country:us/state:in/county:montgomery
Morgan,109,ocd-division/country:us/state:in/county:morgan
Newton,111,ocd-division/country:us/state:in/county:newton
Noble,113,ocd-division/country:us/state:in/county:noble
Ohio,115,ocd-division/country:us/state:in/county:ohio
Orange,117,ocd-division/country:us/state:in/county:orange
Owen,119,ocd-division/country:us/state:in/county:owen
Parke,121,ocd-division/country:us/state:in/county:parke
Perry,123,ocd-division/country:us/state:in/county:perry
Pike,125,ocd-division/country:us/state:in/county:pike
Porter,127,ocd-division/country:us/state:in/county:porter
Posey,129,ocd-division/country:us/state:in/county:posey
Pulaski,131,ocd-division/country:us/state:in/county:pulaski
Putnam,133,ocd-division/country:us/state:in/county:putnam
Randolph,135,ocd-division/country:us/state:in/county:randolph
Ripley,137,ocd-division/country:us/state:in/county:ripley
Rush,139,ocd-division/country:us/state:in/county:rush
St Joseph,141,ocd-division/country:us/state:in/county:st_joseph
Scott,143,ocd-division/country:us/state:in/county:scott
Shelby,145,ocd-division/country:us/state:in/county:shelby
Spencer,147,ocd-division/country:us/state:in/county:spencer
Starke,149,ocd-division/country:us/state:in/county:starke
Steuben,151,ocd-division/country:us/state:in/county:steuben
Sullivan,153,ocd-division/country:us/state:in/county:sullivan
Switzerland,155,ocd-division/country:us/state:in/county:switzerland
Tippecanoe,157,ocd-division/country:us/state:in/county:tippecanoe
Tipton,159,ocd-division/country:us/state:in/county:tipton
Union,161,ocd-division/country:us/state:in/county:union
Vanderburgh,163,ocd-division/country:us/state:in/county:vanderburgh
Vermillion,165,ocd-division/country:us/state:in/county:vermillion
Vigo,167,ocd-division/country:us/state:in/county:vigo
Wabash,169,ocd-division/country:us/state:in/county:wabash
Warren,171,ocd-division/country:us/state:in/county:warren
Warrick,173,ocd-division/country:us/state:in/county:warrick
Washington,175,ocd-division/country:us/state:in/county:washington
Wayne,177,ocd-division/country:us/state:in/county:wayne
Wells,179,ocd-division/country:us/state:in/county:wells
White,181,ocd-division/country:us/state:in/county:white
Whitley,183,ocd-division/country:us/state:in/county:whitley
