year,election,party,county,Paul J. Brown,Zane Lawhorn,Hiram Lewis,John R. Raese,Charles G. Railey,Rick Snuffer
2006,primary,R,Barbour,26,13,269,672,123,18
2006,primary,R,Berkeley,164,13,269,2162,312,211
2006,primary,R,Boone,25,13,75,247,13,63
2006,primary,R,Braxton,72,4,99,216,18,16
2006,primary,R,Brooke,16,13,207,485,50,13
2006,primary,R,Cabell,118,78,685,2435,58,368
2006,primary,R,Calhoun,38,4,30,182,13,6
2006,primary,R,Clay,82,3,94,175,8,7
2006,primary,R,Doddridge,16,8,261,612,101,14
2006,primary,R,Fayette,157,30,157,406,29,258
2006,primary,R,Gilmer,12,9,51,172,11,4
2006,primary,R,Grant,89,28,571,804,144,46
2006,primary,R,Greenbrier,114,97,266,590,19,225
2006,primary,R,Hampshire,36,63,222,487,89,21
2006,primary,R,Hancock,23,7,313,639,47,10
2006,primary,R,Hardy,34,40,110,156,48,12
2006,primary,R,Harrison,36,43,582,1708,501,56
2006,primary,R,Jackson,112,66,401,1179,72,105
2006,primary,R,Jefferson,96,72,415,933,88,58
2006,primary,R,Kanawha,356,186,2256,5223,254,337
2006,primary,R,Lewis,43,16,277,671,125,62
2006,primary,R,Lincoln,37,20,101,323,21,41
2006,primary,R,Logan,24,24,81,247,27,38
2006,primary,R,Marion,44,38,569,1403,130,34
2006,primary,R,Marshall,52,45,538,1158,104,40
2006,primary,R,Mason,94,31,381,1130,101,62
2006,primary,R,McDowell,3,34,45,84,4,5
2006,primary,R,Mercer,12,503,168,870,3,205
2006,primary,R,Mineral,70,20,447,1026,148,34
2006,primary,R,Mingo,19,19,78,187,20,17
2006,primary,R,Monongalia,44,43,1047,2332,73,51
2006,primary,R,Monroe,24,468,84,185,4,71
2006,primary,R,Morgan,35,57,394,488,70,80
2006,primary,R,Nicholas,280,4,145,531,4,41
2006,primary,R,Ohio,52,20,536,1909,84,51
2006,primary,R,Pendleton,6,16,66,192,16,6
2006,primary,R,Pleasants,16,4,117,326,45,6
2006,primary,R,Pocahontas,82,31,106,258,13,32
2006,primary,R,Preston,47,29,679,1743,123,29
2006,primary,R,Putnam,157,61,854,2074,81,116
2006,primary,R,Raleigh,45,68,360,872,13,1278
2006,primary,R,Randolph,47,26,166,579,68,25
2006,primary,R,Ritchie,52,11,218,712,145,18
2006,primary,R,Roane,78,24,194,605,34,21
2006,primary,R,Summers,6,37,35,124,3,116
2006,primary,R,Taylor,23,8,160,748,182,9
2006,primary,R,Tucker,14,6,100,392,52,4
2006,primary,R,Tyler,44,18,277,540,119,20
2006,primary,R,Upshur,77,30,432,1252,181,51
2006,primary,R,Wayne,54,37,183,880,59,83
2006,primary,R,Webster,29,7,25,97,7,3
2006,primary,R,Wetzel,16,5,155,304,43,4
2006,primary,R,Wirt,21,3,108,189,16,9
2006,primary,R,Wood,173,74,1291,3182,234,140
2006,primary,R,Wyoming,22,29,53,312,14,220
