year,election,party,county,Robert C. Byrd,"Billy Hendricks, Jr."
2006,primary,D,Barbour,1493,188
2006,primary,D,Berkeley,3128,473
2006,primary,D,Boone,3722,700
2006,primary,D,Braxton,2029,368
2006,primary,D,Brooke,2518,437
2006,primary,D,Cabell,6126,1025
2006,primary,D,Calhoun,710,178
2006,primary,D,Clay,1480,268
2006,primary,D,Doddridge,329,51
2006,primary,D,Fayette,5613,1005
2006,primary,D,Gilmer,797,174
2006,primary,D,Grant,312,43
2006,primary,D,Greenbrier,3396,803
2006,primary,D,Hampshire,1546,317
2006,primary,D,Hancock,2253,511
2006,primary,D,Hardy,1563,177
2006,primary,D,Harrison,6523,1111
2006,primary,D,Jackson,2012,331
2006,primary,D,Jefferson,3165,375
2006,primary,D,Kanawha,17152,2504
2006,primary,D,Lewis,1324,320
2006,primary,D,Lincoln,2247,388
2006,primary,D,Logan,6095,948
2006,primary,D,Marion,6314,1064
2006,primary,D,Marshall,3597,635
2006,primary,D,Mason,2534,423
2006,primary,D,McDowell,4194,450
2006,primary,D,Mercer,4401,1115
2006,primary,D,Mineral,1648,144
2006,primary,D,Mingo,5562,521
2006,primary,D,Monongalia,6591,1020
2006,primary,D,Monroe,1476,250
2006,primary,D,Morgan,723,91
2006,primary,D,Nicholas,3149,515
2006,primary,D,Ohio,3501,578
2006,primary,D,Pendleton,957,112
2006,primary,D,Pleasants,682,161
2006,primary,D,Pocahontas,1047,154
2006,primary,D,Preston,2105,345
2006,primary,D,Putnam,3269,655
2006,primary,D,Raleigh,6585,1214
2006,primary,D,Randolph,3639,589
2006,primary,D,Ritchie,466,63
2006,primary,D,Roane,1088,185
2006,primary,D,Summers,1513,287
2006,primary,D,Taylor,1721,269
2006,primary,D,Tucker,1103,174
2006,primary,D,Tyler,464,124
2006,primary,D,Upshur,1069,181
2006,primary,D,Wayne,3580,616
2006,primary,D,Webster,1622,279
2006,primary,D,Wetzel,1720,296
2006,primary,D,Wirt,396,101
2006,primary,D,Wood,3964,812
2006,primary,D,Wyoming,2941,491
