year,election,party,district,candidate,county,votes
2006,primary,D,2,Mike Callaghan,Jackson,808
2006,primary,D,2,Mike Callaghan,Jefferson,1323
2006,primary,D,2,Mike Callaghan,Kanawha,7509
2006,primary,D,2,Mike Callaghan,Lewis,374
2006,primary,D,2,Mike Callaghan,Mason,729
2006,primary,D,2,Mike Callaghan,Morgan,207
2006,primary,D,2,Mike Callaghan,Pendleton,391
2006,primary,D,2,Mike Callaghan,Putnam,1406
2006,primary,D,2,Mike Callaghan,Randolph,1312
2006,primary,D,2,Mike Callaghan,Roane,331
2006,primary,D,2,Mike Callaghan,Upshur,362
2006,primary,D,2,Mike Callaghan,Wirt,125
2006,primary,D,2,Mark Hunt,Berkeley,987
2006,primary,D,2,Mark Hunt,Braxton,921
2006,primary,D,2,Mark Hunt,Calhoun,442
2006,primary,D,2,Mark Hunt,Clay,771
2006,primary,D,2,Mark Hunt,Hampshire,528
2006,primary,D,2,Mark Hunt,Hardy,372
2006,primary,D,2,Mark Hunt,Jackson,925
2006,primary,D,2,Mark Hunt,Jefferson,793
2006,primary,D,2,Mark Hunt,Kanawha,4602
2006,primary,D,2,Mark Hunt,Lewis,715
2006,primary,D,2,Mark Hunt,Mason,1495
2006,primary,D,2,Mark Hunt,Morgan,288
2006,primary,D,2,Mark Hunt,Pendleton,214
2006,primary,D,2,Mark Hunt,Putnam,1115
2006,primary,D,2,Mark Hunt,Randolph,1476
2006,primary,D,2,Mark Hunt,Roane,551
2006,primary,D,2,Mark Hunt,Upshur,508
2006,primary,D,2,Mark Hunt,Wirt,203
2006,primary,D,2,Richie Robb,Berkeley,681
2006,primary,D,2,Richie Robb,Braxton,435
2006,primary,D,2,Richie Robb,Calhoun,17
2006,primary,D,2,Richie Robb,Clay,220
2006,primary,D,2,Richie Robb,Hampshire,469
2006,primary,D,2,Richie Robb,Hardy,453
2006,primary,D,2,Richie Robb,Jackson,544
2006,primary,D,2,Richie Robb,Jefferson,910
2006,primary,D,2,Richie Robb,Kanawha,7433
2006,primary,D,2,Richie Robb,Lewis,393
2006,primary,D,2,Richie Robb,Mason,543
2006,primary,D,2,Richie Robb,Morgan,210
2006,primary,D,2,Richie Robb,Pendleton,213
2006,primary,D,2,Richie Robb,Putnam,1274
2006,primary,D,2,Richie Robb,Randolph,862
2006,primary,D,2,Richie Robb,Roane,339
2006,primary,D,2,Richie Robb,Upshur,281
2006,primary,D,2,Richie Robb,Wirt,116
2006,primary,R,2,Shelley Moore Capito,Berkeley,3725
2006,primary,R,2,Shelley Moore Capito,Braxton,390
2006,primary,R,2,Shelley Moore Capito,Calhoun,245
2006,primary,R,2,Shelley Moore Capito,Clay,343
2006,primary,R,2,Shelley Moore Capito,Hampshire,923
2006,primary,R,2,Shelley Moore Capito,Hardy,402
2006,primary,R,2,Shelley Moore Capito,Jackson,1743
2006,primary,R,2,Shelley Moore Capito,Jefferson,1704
2006,primary,R,2,Shelley Moore Capito,Kanawha,8319
2006,primary,R,2,Shelley Moore Capito,Lewis,1115
2006,primary,R,2,Shelley Moore Capito,Mason,1601
2006,primary,R,2,Shelley Moore Capito,Morgan,1037
2006,primary,R,2,Shelley Moore Capito,Pendleton,288
2006,primary,R,2,Shelley Moore Capito,Putnam,3248
2006,primary,R,2,Shelley Moore Capito,Randolph,888
2006,primary,R,2,Shelley Moore Capito,Roane,932
2006,primary,R,2,Shelley Moore Capito,Upshur,1823
2006,primary,R,2,Shelley Moore Capito,Wirt,305
2006,primary,D,3,"Nick Joe Rahall, II",Boone,3178
2006,primary,D,3,"Nick Joe Rahall, II",Cabell,6244
2006,primary,D,3,"Nick Joe Rahall, II",Fayette,5335
2006,primary,D,3,"Nick Joe Rahall, II",Greenbrier,3621
2006,primary,D,3,"Nick Joe Rahall, II",Lincoln,2065
2006,primary,D,3,"Nick Joe Rahall, II",Logan,5144
2006,primary,D,3,"Nick Joe Rahall, II",McDowell,3921
2006,primary,D,3,"Nick Joe Rahall, II",Mercer,4736
2006,primary,D,3,"Nick Joe Rahall, II",Mingo,5127
2006,primary,D,3,"Nick Joe Rahall, II",Monroe,1524
2006,primary,D,3,"Nick Joe Rahall, II",Nicholas,3178
2006,primary,D,3,"Nick Joe Rahall, II",Pocahontas,6244
2006,primary,D,3,"Nick Joe Rahall, II",Raleigh,5335
2006,primary,D,3,"Nick Joe Rahall, II",Summers,3621
2006,primary,D,3,"Nick Joe Rahall, II",Wayne,2065
2006,primary,D,3,"Nick Joe Rahall, II",Webster,5144
2006,primary,D,3,"Nick Joe Rahall, II",Wyoming,3921
2006,primary,R,3,Gary M. (Marty) Gearheart,Boone,97
2006,primary,R,3,Gary M. (Marty) Gearheart,Cabell,213
2006,primary,R,3,Gary M. (Marty) Gearheart,Fayette,491
2006,primary,R,3,Gary M. (Marty) Gearheart,Greenbrier,652
2006,primary,R,3,Gary M. (Marty) Gearheart,Lincoln,59
2006,primary,R,3,Gary M. (Marty) Gearheart,Logan,93
2006,primary,R,3,Gary M. (Marty) Gearheart,McDowell,131
2006,primary,R,3,Gary M. (Marty) Gearheart,Mercer,1456
2006,primary,R,3,Gary M. (Marty) Gearheart,Mingo,80
2006,primary,R,3,Gary M. (Marty) Gearheart,Monroe,565
2006,primary,R,3,Gary M. (Marty) Gearheart,Nicholas,379
2006,primary,R,3,Gary M. (Marty) Gearheart,Pocahontas,216
2006,primary,R,3,Gary M. (Marty) Gearheart,Raleigh,1362
2006,primary,R,3,Gary M. (Marty) Gearheart,Summers,182
2006,primary,R,3,Gary M. (Marty) Gearheart,Wayne,122
2006,primary,R,3,Gary M. (Marty) Gearheart,Webster,46
2006,primary,R,3,Gary M. (Marty) Gearheart,Wyoming,385
2006,primary,R,3,Kim Wolfe,Boone,269
2006,primary,R,3,Kim Wolfe,Cabell,3689
2006,primary,R,3,Kim Wolfe,Fayette,424
2006,primary,R,3,Kim Wolfe,Greenbrier,455
2006,primary,R,3,Kim Wolfe,Lincoln,438
2006,primary,R,3,Kim Wolfe,Logan,279
2006,primary,R,3,Kim Wolfe,McDowell,21
2006,primary,R,3,Kim Wolfe,Mercer,165
2006,primary,R,3,Kim Wolfe,Mingo,186
2006,primary,R,3,Kim Wolfe,Monroe,125
2006,primary,R,3,Kim Wolfe,Nicholas,462
2006,primary,R,3,Kim Wolfe,Pocahontas,207
2006,primary,R,3,Kim Wolfe,Raleigh,792
2006,primary,R,3,Kim Wolfe,Summers,79
2006,primary,R,3,Kim Wolfe,Wayne,1102
2006,primary,R,3,Kim Wolfe,Webster,91
2006,primary,R,3,Kim Wolfe,Wyoming,191
