year,election,party,district,candidate,county,votes
2006,primary,D,1,Alan B. Mollohan,Barbour,1409
2006,primary,D,1,Alan B. Mollohan,Brooke,2549
2006,primary,D,1,Alan B. Mollohan,Cabell,320
2006,primary,D,1,Alan B. Mollohan,Doddridge,822
2006,primary,D,1,Alan B. Mollohan,Gilmer,279
2006,primary,D,1,Alan B. Mollohan,Grant,2368
2006,primary,D,1,Alan B. Mollohan,Hancock,6060
2006,primary,D,1,Alan B. Mollohan,Marion,5965
2006,primary,D,1,Alan B. Mollohan,Marshall,3741
2006,primary,D,1,Alan B. Mollohan,Mineral,1476
2006,primary,D,1,Alan B. Mollohan,Monongalia,5776
2006,primary,D,1,Alan B. Mollohan,Ohio,3589
2006,primary,D,1,Alan B. Mollohan,Pleasants,707
2006,primary,D,1,Alan B. Mollohan,Preston,1971
2006,primary,D,1,Alan B. Mollohan,Ritchie,453
2006,primary,D,1,Alan B. Mollohan,Taylor,1621
2006,primary,D,1,Alan B. Mollohan,Tucker,708
2006,primary,D,1,Alan B. Mollohan,Tyler,510
2006,primary,D,1,Alan B. Mollohan,Wetzel,1763
2006,primary,D,1,Alan B. Mollohan,Wood,4056
2006,primary,R,1,Chris Wakim,Barbour,643
2006,primary,R,1,Chris Wakim,Brooke,495
2006,primary,R,1,Chris Wakim,Cabell,530
2006,primary,R,1,Chris Wakim,Doddridge,164
2006,primary,R,1,Chris Wakim,Gilmer,924
2006,primary,R,1,Chris Wakim,Grant,739
2006,primary,R,1,Chris Wakim,Hancock,1919
2006,primary,R,1,Chris Wakim,Marion,1470
2006,primary,R,1,Chris Wakim,Marshall,1315
2006,primary,R,1,Chris Wakim,Mineral,1258
2006,primary,R,1,Chris Wakim,Monongalia,2270
2006,primary,R,1,Chris Wakim,Ohio,2049
2006,primary,R,1,Chris Wakim,Pleasants,309
2006,primary,R,1,Chris Wakim,Preston,1389
2006,primary,R,1,Chris Wakim,Ritchie,585
2006,primary,R,1,Chris Wakim,Taylor,718
2006,primary,R,1,Chris Wakim,Tucker,347
2006,primary,R,1,Chris Wakim,Tyler,619
2006,primary,R,1,Chris Wakim,Wetzel,372
2006,primary,R,1,Chris Wakim,Wood,3082
2006,primary,D,2,Mike Callaghan,Berkeley,1579
2006,primary,D,2,Mike Callaghan,Braxton,828
2006,primary,D,2,Mike Callaghan,Calhoun,169
2006,primary,D,2,Mike Callaghan,Clay,617
2006,primary,D,2,Mike Callaghan,Hampshire,509
2006,primary,D,2,Mike Callaghan,Hardy,576
