county,fips,code,ocd_id
Albany,1,AL,ocd-division/country:us/state:wy/county:albany
Big Horn,3,BH,ocd-division/country:us/state:wy/county:big_horn
Campbell,5,Campbell,ocd-division/country:us/state:wy/county:campbell
Carbon,7,CB,ocd-division/country:us/state:wy/county:carbon
Converse,9,CV,ocd-division/country:us/state:wy/county:converse
Crook,11,CK,ocd-division/country:us/state:wy/county:crook
Fremont,13,FR,ocd-division/country:us/state:wy/county:fremont
Goshen,15,GO,ocd-division/country:us/state:wy/county:goshen
Hot Springs,17,HT,ocd-division/country:us/state:wy/county:hot_springs
Johnson,19,JO,ocd-division/country:us/state:wy/county:johnson
Laramie,21,LA,ocd-division/country:us/state:wy/county:laramie
Lincoln,23,LI,ocd-division/country:us/state:wy/county:lincoln
Natrona,25,NA,ocd-division/country:us/state:wy/county:natrona
Niobrara,27,NI,ocd-division/country:us/state:wy/county:niobrara
Park,29,PK,ocd-division/country:us/state:wy/county:park
Platte,31,PL,ocd-division/country:us/state:wy/county:platte
Sheridan,33,SN,ocd-division/country:us/state:wy/county:sheridan
Sublette,35,SB,ocd-division/country:us/state:wy/county:sublette
Sweetwater,37,SW,ocd-division/country:us/state:wy/county:sweetwater
Teton,39,TE,ocd-division/country:us/state:wy/county:teton
Uinta,41,UI,ocd-division/country:us/state:wy/county:uinta
Washakie,43,WA,ocd-division/country:us/state:wy/county:washakie
Weston,45,WE,ocd-division/country:us/state:wy/county:weston
