date,race_type,county,office,district,party,special,url
2012-05-15,primary,,,,,,http://sos.oregon.gov/elections/Documents/results/results-5-2012.pdf
2012-11-06,general,,,,,,http://sos.oregon.gov/elections/Documents/results/results-11-2012.pdf
2012-01-31,general,,House,1,,TRUE,http://sos.oregon.gov/elections/Documents/results/january-special-2012.pdf
2011-11-08,primary,,House,1,,TRUE,http://sos.oregon.gov/elections/Documents/results/november-2011-special-election.pdf
2010-05-18,primary,,,,,,http://sos.oregon.gov/elections/Documents/results/results-5-2010.pdf
2010-11-02,general,,,,,,http://sos.oregon.gov/elections/Documents/results/results-11-2010.pdf
2008-05-20,primary,,,,,,http://sos.oregon.gov/elections/Documents/results/results-5-2008.pdf
2008-11-04,general,,,,,,http://sos.oregon.gov/elections/Documents/results/results-11-2008.pdf
2006-05-16,primary,,,,,,http://sos.oregon.gov/elections/Documents/results/results-5-2006.pdf
2006-11-07,general,,,,,,http://sos.oregon.gov/elections/Documents/results/results-11-2006.pdf
2004-05-18,primary,,,,,,http://sos.oregon.gov/elections/Documents/results/results-5-2004-partisan.pdf
2004-11-02,general,,,,,,http://sos.oregon.gov/elections/Documents/results/results-11-2004.pdf
2000-05-16,primary,,Federal,,,,
2000-05-16,primary,,State Legislative,,,,
2000-05-16,primary,,Statewide,,,,
2000-11-07,general,,State Legislative,,,,
2014-05-20,primary,,Governor,,,,http://sos.oregon.gov/elections/Documents/results/may-primary-2014.pdf
2014-05-20,primary,,House,,,,http://sos.oregon.gov/elections/Documents/results/may-primary-2014.pdf
2014-05-20,primary,,Senate,,,,http://sos.oregon.gov/elections/Documents/results/may-primary-2014.pdf
2014-05-20,primary,,State Senate,,,,http://sos.oregon.gov/elections/Documents/results/may-primary-2014.pdf
2014-05-20,primary,,State House,,,,http://sos.oregon.gov/elections/Documents/results/may-primary-2014.pdf
2014-11-04,general,,Governor,,,,http://sos.oregon.gov/elections/Documents/results/results-2014-general-election.pdf
2014-11-04,general,,House,,,,http://sos.oregon.gov/elections/Documents/results/results-2014-general-election.pdf
2014-11-04,general,,Senate,,,,http://sos.oregon.gov/elections/Documents/results/results-2014-general-election.pdf
2014-11-04,general,,State Senate,,,,http://sos.oregon.gov/elections/Documents/results/results-2014-general-election.pdf
2014-11-04,general,,State House,,,,http://sos.oregon.gov/elections/Documents/results/results-2014-general-election.pdf
