county,ocd_id,fips
Baker ,ocd-division/country:us/state:or/county:baker ,1
Benton ,ocd-division/country:us/state:or/county:benton ,3
Clackamas ,ocd-division/country:us/state:or/county:clackamas ,5
Clatsop ,ocd-division/country:us/state:or/county:clatsop ,7
Columbia ,ocd-division/country:us/state:or/county:columbia ,9
Coos ,ocd-division/country:us/state:or/county:coos ,11
Crook ,ocd-division/country:us/state:or/county:crook ,13
Curry ,ocd-division/country:us/state:or/county:curry ,15
Deschutes ,ocd-division/country:us/state:or/county:deschutes ,17
Douglas ,ocd-division/country:us/state:or/county:douglas ,19
Gilliam ,ocd-division/country:us/state:or/county:gilliam ,21
Grant ,ocd-division/country:us/state:or/county:grant ,23
Harney ,ocd-division/country:us/state:or/county:harney ,25
Hood River ,ocd-division/country:us/state:or/county:hood_river ,27
Jackson ,ocd-division/country:us/state:or/county:jackson ,29
Jefferson ,ocd-division/country:us/state:or/county:jefferson ,31
Josephine ,ocd-division/country:us/state:or/county:josephine ,33
Klamath ,ocd-division/country:us/state:or/county:klamath ,35
Lake ,ocd-division/country:us/state:or/county:lake ,37
Lane ,ocd-division/country:us/state:or/county:lane ,39
Lincoln ,ocd-division/country:us/state:or/county:lincoln ,41
Linn ,ocd-division/country:us/state:or/county:linn ,43
Malheur ,ocd-division/country:us/state:or/county:malheur ,45
Marion ,ocd-division/country:us/state:or/county:marion ,47
Morrow ,ocd-division/country:us/state:or/county:morrow ,49
Multnomah ,ocd-division/country:us/state:or/county:multnomah ,51
Polk ,ocd-division/country:us/state:or/county:polk ,53
Sherman ,ocd-division/country:us/state:or/county:sherman ,55
Tillamook ,ocd-division/country:us/state:or/county:tillamook ,57
Umatilla ,ocd-division/country:us/state:or/county:umatilla ,59
Union ,ocd-division/country:us/state:or/county:union ,61
Wallowa ,ocd-division/country:us/state:or/county:wallowa ,63
Wasco ,ocd-division/country:us/state:or/county:wasco ,65
Washington ,ocd-division/country:us/state:or/county:washington ,67
Wheeler ,ocd-division/country:us/state:or/county:wheeler ,69
Yamhill ,ocd-division/country:us/state:or/county:yamhill ,71
