ocd_id,name,fips,,
ocd-division/country:us/state:id/county:ada,Ada County,001,,
ocd-division/country:us/state:id/county:adams,Adams County,003,,
ocd-division/country:us/state:id/county:bannock,Bannock County,005,,
ocd-division/country:us/state:id/county:bear_lake,Bear Lake County,007,,
ocd-division/country:us/state:id/county:benewah,Benewah County,009,,
ocd-division/country:us/state:id/county:bingham,Bingham County,011,,
ocd-division/country:us/state:id/county:blaine,Blaine County,013,,
ocd-division/country:us/state:id/county:boise,Boise County,015,,
ocd-division/country:us/state:id/county:bonner,Bonner County,017,,
ocd-division/country:us/state:id/county:bonneville,Bonneville County,019,,
ocd-division/country:us/state:id/county:boundary,Boundary County,021,,
ocd-division/country:us/state:id/county:butte,Butte County,023,,
ocd-division/country:us/state:id/county:camas,Camas County,025,,
ocd-division/country:us/state:id/county:canyon,Canyon County,027,,
ocd-division/country:us/state:id/county:caribou,Caribou County,029,,
ocd-division/country:us/state:id/county:cassia,Cassia County,031,,
ocd-division/country:us/state:id/county:clark,Clark County,033,,
ocd-division/country:us/state:id/county:clearwater,Clearwater County,035,,
ocd-division/country:us/state:id/county:custer,Custer County,037,,
ocd-division/country:us/state:id/county:elmore,Elmore County,039,,
ocd-division/country:us/state:id/county:franklin,Franklin County,041,,
ocd-division/country:us/state:id/county:fremont,Fremont County,043,,
ocd-division/country:us/state:id/county:gem,Gem County,045,,
ocd-division/country:us/state:id/county:gooding,Gooding County,047,,
ocd-division/country:us/state:id/county:idaho,Idaho County,049,,
ocd-division/country:us/state:id/county:jefferson,Jefferson County,051,,
ocd-division/country:us/state:id/county:jerome,Jerome County,053,,
ocd-division/country:us/state:id/county:kootenai,Kootenai County,055,,
ocd-division/country:us/state:id/county:latah,Latah County,057,,
ocd-division/country:us/state:id/county:lemhi,Lemhi County,059,,
ocd-division/country:us/state:id/county:lewis,Lewis County,061,,
ocd-division/country:us/state:id/county:lincoln,Lincoln County,063,,
ocd-division/country:us/state:id/county:madison,Madison County,065,,
ocd-division/country:us/state:id/county:minidoka,Minidoka County,067,,
ocd-division/country:us/state:id/county:nez_perce,Nez Perce County,069,,
ocd-division/country:us/state:id/county:oneida,Oneida County,071,,
ocd-division/country:us/state:id/county:owyhee,Owyhee County,073,,
ocd-division/country:us/state:id/county:payette,Payette County,075,,
ocd-division/country:us/state:id/county:power,Power County,077,,
ocd-division/country:us/state:id/county:shoshone,Shoshone County,079,,
ocd-division/country:us/state:id/county:teton,Teton County,081,,
ocd-division/country:us/state:id/county:twin_falls,Twin Falls County,083,,
ocd-division/country:us/state:id/county:valley,Valley County,085,,
ocd-division/country:us/state:id/county:washington,Washington County,087,,
